English,Ekegusii
"and remembered the prophecy of Amos, as he said, “Your feasts will be turned into mourning, and all your mirth into lamentation.","Nkainyora obobani bwa Amos “Amatuko aino amanene yemeyega naochoke abe ay’okweumia, na amateera aino abe ebikuuro.” Erio ngachaka korera."
"So I wept: and when the sun had set, I went and dug a grave, and buried him.","Ekero erioba riarimerete, ngasooka isiko nkarema oboina ngatideeka omobere oria."
"My neighbors mocked me, and said, “He is no longer afraid to be put to death for this matter; and yet he fled away. Behold, he buries the dead again.”","Korende abaamate baane bagansekerera bagoteeba “Morigererie oyo! Tari kwooboa ekiagera aya agokora naro agerete ere are korigigwa aitwe korende ere agatama, na rora ochakire amang’ana aria aria!”"
"The same night I returned from burying him, and slept by the wall of my courtyard, being polluted; and my face was uncovered.","Emogoroba eyio nkairana ngesibia, nkagenda gesona mwane nkarara aroro na tinebisia bosio ase engencho riberera riarenge rinyinge mono."
"I didn’t know that there were sparrows in the wall. My eyes were open and the sparrows dropped warm dung into my eyes, and white films came over my eyes. I went to the physicians, and they didn’t help me; but Achiacharus nourished me, until I went into Elymais.","Tinamanyete gose Chinchiro chiarenge kerama igoro ase naraire. Bono chinchiro echio chigansaera echabu yabo yarenge morero egasoa ase amaiso ane erio ebinto ebirabu bigasieka amaiso ane ngasinywa korora, erio nkagenda ase abarwaria ao ao korende onde taiyo onyarete gonkoonya na omoerio nkaba omouko ase emiaka ene ntari nkorora kende. Abaminto baganchandekera mono boigo na Ahika akandenda ase emiaka ebere erio akagenda Elamu."
"My wife Anna wove cloth in the women’s chambers,",Ase chingaki echio mokaane Anna agachaaka gokora emeremo yogosona chianga buna abakungu bande.
"and sent the work back to the owners. They on their part paid her wages, and also gave her a kid.",Kera engaki ekero akorire gosona chianga nigo arenge koirera abanyene erio bamwakana chitaabu chiaye. Rituko erimo agasona eyanga erio akayeirera omonyene ere akamwakana chitaabu chiaye boigo akamoa akamanwa kembori buna ekeegwa.
"But when it came to my house, it began to cry, and I said to her, “Where did this kid come from? Is it stolen? Give it back to the owners; for it is not lawful to eat anything that is stolen.”","Ekero Anna aigete inka nemanwa eria y’embori egachaka kwana, erio inche nkamoboria “Ngai kwarusia embori eyio? Nigo kwaiba? Yeiraneri omonyene! Tari buya koria endagera eibire!”"
"But she said, “It has been given to me for a gift more than the wages.” I didn’t believe her, and I asked her to return it to the owners; and I was ashamed of her. But she answered and said to me, “Where are your alms and your righteous deeds? Behold, you and all your works are known.”",Anna aganteebia: “Yaya taibo emanwa eye nigo naegwa buna ekeegwa ase ogoakanwa kwane.” Korende inche tinamwegena; ’inkaba n’obosoku ase egekorwa ekio akorete. Inkamochika eyairanerie abanyene. Erio ere akang’iraneria! Ee bono! Aye ngokonya kware abataka gose tai bo? Aye gwakorete ngeto ki akoiraneirie? Aya akonyorete nigo are maiso marore!
"I was grieved and wept, and prayed in sorrow, saying,",Erio agwo ase obororo obonene ngachaaka korera ase okoiyeria amariga na gosaba
"“O Lord, you are righteous, and all your works and all your ways are mercy and truth, and you judge true and righteous judgment forever.","“Aye Omonene, aye nomonyakeene, ebikorwa biao bionsi nebiekeene; chingecho chiao nechiamaabera nekeene aye naye okogambia ense."
"Remember me, and look at me. Don’t take vengeance on me for my sins and my ignorances, and the sins of my fathers who sinned before you.","Bono aye Omonene, ong’inyore na kondigereria, tobaisa kong’a egesusuro ase engencho yebibe biane gose ase amamocho chisokoro chiane chiakoreete."
"For they disobeyed your commandments. You gave us as plunder, for captivity, for death, and for a proverb of reproach to all the nations among whom we are dispersed.",Barobwo tibabwatete amachiiko ao; ase igo ogatotiga tokang’anyigwa na goitwa. Ogatokora togasekererwa na tokaba obosooku ase ebisaku bionsi agwo ase twasiareretwe.
"Now your judgments are many and true, that you should deal with me according to my sins and the sins of my fathers, because we didn’t keep your commandments, for we didn’t walk in truth before you.",Chingaki chinyinge kwaeire chisokoro chiane egesusuro koreng’ana nebibe biabo boigo nainche kwang’eire egesusuro koreng’ana nebibe biaane. Nigo twatigete koigwera amachiiko ao na ase igo tokanyora egesusuro giaito giekeene.
"Now deal with me according to that which is pleasing in your sight. Command my spirit to be taken from me, that I may be released, and become earth. For it is more profitable for me to die rather than to live, because I have heard false reproaches, and there is much sorrow in me. Command that I be released from my distress, now, and go to the everlasting place. Don’t turn your face away from me.”","Bono aye nkorere buna otagete. Rusia obogima bwane erio onsibore korwa ense eye. Ase inde mbuya gokwa kobua koba moyo, ase engencho nigo ’nkomochigwa ntabwati komocha; nerusirie moyo. Omonene ancha bono aye kondusia ase emechaando eye, ong’ire ase ogotimoka gwa kare na kare. Tibwanga koigwa ogosaba kwaane.”"
"The same day it happened to Sarah the daughter of Raguel in Ecbatana of Media, that she also was reproached by her father’s maidservants;","Rituko erio erio, ase omochie o Ekbatana aria ase ense ya Media, Sara mosubati o Ragueli nere akaramwa noyomo bw’abasubati abakori emeremo ba ise."
"because that she had been given to seven husbands, and Asmodaeus the evil spirit killed them, before they had lain with her. And they said to her, “Do you not know that you strangle your husbands? You have had already seven husbands, and you haven’t borne the name of any one of them.",Bono Sara konya onywomirwe ara gatano na kabere korende ekerecha keria Asmodeo nigo kiabete kegoita kera oyomo bw’abasaacha aba ekero banywomire magega batarara na Sara. Bono omosubati oyo omokori emeremo agateebia Sara: “Aye nomoiti tori korora nonya mbosoku kwabeire nabasaacha batano na babere korende onde taiyo nonya noyomo okoeire omwana.
"Why do you scourge us? If they are dead, go your ways with them. Let us never see either son or daughter from you.”",Nase ki ogotounereria igaa? Genda gochia ariaa bwatia abasacha bao abwo bakuure. Mbuya titorora omwana bw’oroiboro rwao.”
"When she heard these things, she was grieved exceedingly, so that she thought about hanging herself. Then she said, “I am the only daughter of my father. If I do this, it will be a reproach to him, and I will bring down his old age with sorrow to the grave.”","Ekero Sara aigwete amang’ana aya akagechigwa mono agachaaka korera na koiyeria amariga, akariina enyomba ya igoro akarigia eite. Korende ekero arengereretie agateeba, “Yaya tingweita erio abanto bache gochaaya tata na goteeba, aye nigo kwabwate omwana oyomo enyaroka oyio gwanchete mono, korende ere ageita ase engencho yobororo! Ring’ana ringa buna eri nigo riragere tata oyio ogotire akwe bwango erio inche mbarerwe okomocha; bono inche nigo ’nkomosaba Nyasae Omobui aire enkoro yane erio timbaisa koigwa okorama buna oko rinde.”"
"Then she prayed by the window, and said, “Blessed are you, O Lord my God, and blessed is your holy and honorable name forever! Let all your works praise you forever!",Erio Sara agatenena ase etirisa akaimokereria amaboko aye igoro na gosaba ogoteeba: “Otogigwe aye Nyasae one; ritogigwe botambe erieta riao richenu.
"And now, Lord, I have set my eyes and my face toward you.",Na bono aye Nyasae Omobui naimokereirie amaiso ane gocha ase ore ’insemeretie buna aye nonkoonye.
"Command that I be released from the earth, and that I no longer hear reproach.",Aye bono karwe ogochika erio inche indwe ase ense erio tinyigwa okoramwa oko naende.
"You know, Lord, that I am pure from all sin with man,",Nomanyete aye Omonene buna inche nomoiseke omwekungi tinanakoba na mosacha onde.
"and that I never polluted my name or the name of my father in the land of my captivity. I am the only daughter of my father, and he has no child that will be his heir, nor brother near him, nor son belonging to him, that I should keep myself for a wife to him. Seven husbands of mine are dead already. Why should I live? If it doesn’t please you to kill me, command some regard to be had of me, and pity taken of me, and that I hear no more reproach.”","Tindasaria erieta riane gose eria tata ominto aiga ase ense eye nanganyetigwe gocha. Ninche bweka omwana o tata ominto ere tabwati mwana onde orabe omonyamwando oye, gose tabwati onde obamwabo oranyare konywoma. Nasiririe abasacha batano na babere; nase ki ndagenderere koba moyo? Onye aye togwancha kondusia ase ense, ndorere amaabera. Tinkonyara koremereria koramwa!”"
The prayer of both was heard before the glory of the great God.,"Ekero Tobiti na Sara bagendererete gosaba, Nyasae ore igoro akaigwa ogosaba kwabo."
"Raphael also was sent to heal them both, to scale away the white films from Tobit’s eyes, and to give Sarah the daughter of Raguel for a wife to Tobias the son of Tobit; and to bind Asmodaeus the evil spirit; because it belonged to Tobias that he should inherit her. At that very time, Tobit returned and entered into his house, and Sarah the daughter of Raguel came down from her upper chamber.","Erio ere agatoma Omomalaika oye Rafaeli kobakoonya. Omomalaika oria akarusia ebinto biria ebirabu biarenge ase amaiso a Tobiti erio anyare korora naende akore emeroberio yenywomo gati ya Sara na Tobia omwana o Tobiti; Tobia nigo arenge omwana o momura omwabo Tobiti, oyio kobwatekana n’ogochika bwancheire konywoma Sara. Rafaeli boigo agachiika ekerecha keria Asmodeo ekio konya giachandire Sara kerwe ase are. Ase chingaki chiria Tobiti aimogete korwa gesona ase arenge Sara nere ngoika arenge korwa enyomba ya igoro ase arenge."
"In that day Tobit remembered the money which he had left in trust with Gabael in Rages of Media,","Rituko erio erio, Tobiti akainyora chitaabu chiaye echio atigerete Gabaeli aria Rege ase ense ya Media,"
"and he said to himself, I have asked for death; why do I not call my son Tobias, that I may explain to him about the money before I die?","erio akarengereria ase omoyo oye ime ageteebia: Ase engencho nasabire Nyasae inkwe, ninganeirie ’indangerie omwana one Tobia ’motebie igoro yechitaabu chiria magega ’ntarakwa."
"And he called him, and said, “My child, if I die, bury me. Don’t despise your mother. Honor her all the days of your life, and do that which is pleasing to her, and don’t grieve her.","Erio akarangeria omwana oye Tobia akamoteebia, omwana one, ekero ’ndakwe, ontindeke buna ebwenerete. Bono aye goika omosike nyoko omorende buya ase obogima bwao bwonsi. Oikeranie amang’ana onsi ayio araganie omokorere naende tomogechia ase kende gionsi."
"Remember, my child, that she has seen many dangers for you, when you were in her womb. When she is dead, bury her by me in one grave.","Inyora omwana one buna nyoko achandegete gokoreta ase ense eye. Bono ekero nere arakwe, omotindeke ensemo agwo ase oboina obwo orantindeke inche."
"My child, be mindful of the Lord our God all your days, and don’t let your will be set to sin and to transgress his commandments: do righteousness all the days of your life, and don’t follow the ways of unrighteousness.","“Obe omwegenwa ase Omonene Nyasae oito amatuko onsi yobogima bwao. Tokora ebibe moeneno, gose tobaisa gosaria amachiiko aye. Kora ayare amaya ase obogima bwao bwonsi gose tobaisa kobwatia chinchera chi’obokorekanu.”"
"For if you do what is true, your deeds will prosperously succeed for you, and for all those who do righteousness.",Oyogokora amang’ana onsi ase obwegenwa nigo agosesenigwa ase obogima bwaye.
"Give alms from your possessions. When you give alms, don’t let your eye be envious. Don’t turn away your face from any poor man, and the face of God won’t be turned away from you.",Karue ensemo y’enibo yao ase abataka. Tobaisa korina omotaka kende gionsi naye Nyasae tagokorina kende gionsi.
"As your possessions are, give alms of it according to your abundance. If you have little, don’t be afraid to give alms according to that little;","Karue biria ore nabio Korabe nebinge karue ebinge, neisakoba nebike obwate, karue koreng’ana nokonyora kwao."
for you lay up a good treasure for yourself against the day of necessity;,Ase ogokora igo nigo okwegachera ebinge ase chingaki chi’emechando.
"because alms-giving delivers from death, and doesn’t allow you to come into darkness.",Ase engencho ogokonya omotaka nigo oretange korwa ase amakweri gose gosoa ase omosunte ime.
Alms is a good gift in the sight of the Most High for all that give it.,Gokonya abataka ase baria bonsi banchete gokora bo nigo ere esadaka engiya mono ase obosio bwa Nyasae Omobui.
"Beware, my child, of all fornication, and take first a wife of the seed of your fathers. Don’t take a strange wife, who is not of your father’s tribe; for we are the descendants of the prophets. Remember, my child, that Noah, Abraham, Isaac, and Jacob, our fathers of old time, all took wives of their kindred, and were blessed in their children, and their seed will inherit the land.","“Omwana one, etange mono korwa ase obotomani goetenia onsi, nywoma omosubati korwa ase egesaku giechisokoro chiao. Tobaisa konywoma omosubati korwa ase abanto b’ebisaku ase engencho intwe negesaku ki’ababani. Inyora abagaaka buna Nuhu, Aburamu, Isaka, na Yakobo abwo bare chisokoro chiaito nigo banywomete abasubati korwa ase egesaku kiabo. Nyasae akabasesenia akabaa abana abwo bare oroiboro rwabo nabwo bagocha koira ense eria yomwando.”"
"And now, my child, love your kindred, and don’t scorn your kindred and the sons and the daughters of your people in your heart, to take a wife of them; for in scornfulness is destruction and much trouble, and in idleness is decay and great lack; for idleness is the mother of famine.","Ase igo bono aye omwana one, goika bwanche abamino. Tobaisa kwerora erio otige konywoma korwa ase abanto bamino. Obwerori bonga buna obwo nigo bokorenta ogosira okonene buna koreng’ana obworo bokoreta obotaka nenchara enene. Ase engencho obworo nabwo ng’ina y’enchara"
"Don’t let the wages of any man who works for you wait with you, but give it to him out of hand. If you serve God, you will be rewarded. Take heed to yourself, my child, in all your works, and be discreet in all your behavior.","“Tobaisa kogacha eng’eria ya baria bakogokorera emeremo goika rituko rinde. Bae eng’eria yabo riimo rioka. Koramosike Nyasae, ere nakorende. Origererie buya kende gionsi ogokora, na obe namasikani ase orogendo rwao.”"
"And what you yourself hate, do to no man. Don’t drink wine to drunkenness, and don’t let drunkenness go with you on your way.",Tobaisa gokorera monto onde keria otaganie okorerwe. Tobaisa konywa edivai goetania ekerengo na gotinda; ogotinda tikoba ase ore.
"Give of your bread to the hungry, and of your garments to those who are naked. Give alms from all your abundance. Don’t let your eye be envious when you give alms.","Obae endagera baria bare n’enchara, na baria bare getirianda obae chianga. Erwe gokonya abataka na ekero kwarure tiga kwemurungania; karue ase omoyo bw’gwancha."
"Pour out your bread on the burial of the just, and give nothing to sinners.","Ekero omonto omoirogete Nyasae akuure obae abanto b’enka yaye endagera, korende tokora bo ase omonyabibe."
"Ask counsel of every man who is wise, and don’t despise any counsel that is profitable.","Rigia oboseemia korwa ase abanto abang’aini, naende tobaisa gochaaya oboseemia."
"Bless the Lord your God at all times, and ask of him that your ways may be made straight, and that all your paths and counsels may prosper; for every nation has no counsel; but the Lord himself gives all good things, and he humbles whom he will, as he will. And now, my child, remember my commandments, and let them not be blotted out of your mind.","Omotogie Omonene amatuko onsi. Omosabe, arongeyie chinchera chiao nagoikerania emeroberio yao yonsi, ase engencho obong’aini tibori ase kera ense. Nyasae omonyene nere okobaa amaya onsi. Ekero aganetie nigo akomoiyeria omonto nonya ngoika embera. Ase igo omwana one oinyore amang’ana ane naende toyatinyia korwa ase enkoro yao."
"And now I explain to you about the ten talents of silver, which I left in trust with Gabael the son of Gabrias at Rages of Media.","Bono omwana one, nigo ntagete gokomanyia ng’a agwo kare ’naete Gabali omwana o Gabria chitaabu chinyinge aria Rage ase ense ya Media."
"And fear not, my child, because we are made poor. You have much wealth, if you fear God, and depart from all sin, and do that which is pleasing in his sight.”","Bono aye toba nobwoba buna intwe twabeire abataka. Koramoiroke Nyasae na otige ebibe bionsi nagokora ayakomogokia, aye nobe n’eniibo enyinge."
"Then Tobias answered and said to him, “Father, I will do all things, whatever you have commanded me.",Erio Tobia akairaneria ise akamoteebia “Ninkore aya onsi gwanchiikire
"But how could I receive the money, since I don’t know him?”","bono ng’aki ndakore ’nyore chitaabu echi gwantebia korwa ase Gabaeli ase engencho inche timomanyeti nere tamanyeti? ’Nkemanyererio ki ndamworokie erio anyare gwancherana na kong’a chitaabu echio? Goetania igo, inche timanyeti enchera ekogenda Media.”"
"He gave him the handwriting, and said to him, “Seek a man who will go with you, and I will give him wages, while I still live; and go and receive the money.”","Erio Tobiti akairaneria omwana oye Tobia akamoteebia Inche, ntwariikeranete na Gabaeli togakora okobwatana erio togatandora ekaratasi eria gati gati ere akaira ekengese nechitaabu nainche ’nkaira ekengese kende, aya nigo twayakorete emiaka emeongo ebere (20) yaetire, bono aye genda origie omonto omwegenwa oyio oragokobe gochia Media nakoirana naye goika aiga. Ekero morairane tomwakane eng’eria yaye. Korende aye goika onyore chitaabu echio natigerete Gabaeli."
"He went to seek a man, and found Raphael who was an angel;","Erio Tobia akagenda korigia omonto omanyete enchera ekogenda Media erio bagende nere. Erio agwo obosio ase obosio Tobia bakaumerana na Rafaeli. Tobia tamanyete ng’a Rafaeli nigo arenge omomalaika o Nyasae,"
"and he didn’t know it. He said to him, “Can I go with you to Rages of Media? Do you know those places well?”",erio akamoboria “Ngai okorwa?” Rafaeli akamoiraneria “Inche nomonto omino omoisraeli narwa aaree nacha aa Ninawi korigia emeremo.” Tobia akamoboria “Nomanyete enchera ekogenda Media?”
"The angel said to him, “I will go with you. I know the way well. I have lodged with our brother Gabael.”",Rafaeli akamoiraneria “Ee nimanyete. Nabeire nkogenda Media chingaki chinyinge ase igo chinchera chionsi ninchimanyete buya mono. Aria Media nigo namenyete noyominto Gabaeli oyio omenyete omochie o Rage. Rage n’ense yebitunwa ase eratoire amatuko ange abere gotara goika Ekbatana omochie omonene o Media.”
"Tobias said to him, “Wait for me, and I will tell my father.”",Erio Tobia agateebia Rafaeli “Nganye aiga mosani one tiga ndarateebia tata. Nigo nganetie onkobe goika Media naiche ningoakane engeria ase orogendo oro.”
"He said to him, “Go, and don’t wait. And he went in and said to his father, “Behold, I have found someone who will go with me.” But he said, “Call him to me, that I may know of what tribe he is, and whether he be a trustworthy man to go with you.”",Rafaeli akamoteebia “Genda korende totebana.”
"So he called him, and he came in, and they saluted one another.","Tobia agasoa nyomba agateebia ise “Nanyorire omoisraeli ominto oyogonkoba ase orogendo rwane.” Tobiti akamoiraneria “Morangerie ache aiga. Ninganetie komomanya buya buna ere noyong’o naende noyogesaku ki, naende gose nomonto oregeenwe kogenda amo naye.”"
"And Tobit said to him, “Brother, of what tribe and of what family are you? Tell me.”","Erio Tobia agasoka isiko akarangeria Rafaeli agateeba, “Tata ngokorangeria are.” Rafaeli ekero asoete nyomba Tobiti akamokwania na Rafaeli akamokwania ase omogooko omonene. Korende Tobiti akamoboria, ng’aki eranyarekane imbe nomogooko naende? Inche nomouko tindi korora kende. Narimeire ime ase omosunte buna abakuure batarore oborabu naende. Igo enga buna nakuure igo nkoigwa abanto bagokwana korende tindi kobarora. Omomalaika akamoteebia Tobiti “Tokwa omoyo! Nyasae Nagosesenie obweene bwango iga, aye tochandeka ase enkoro!” Erio Tobiti agateeba “Omwana one Tobia nigo aganetie kogenda Media, inee, nonyare komokoba omworoki enchera? Toba nechitang’utang’u inche ningwakane.” Rafaeli akamoteebia nabo ’nkogenda nere, nachire aroro chingaki chinyinge na nigo manyete chinchera chionsi chiebitirimboko nebitiiro."
"He said to him, “Do you seek a tribe and a family, or a hired man which will go with your son?” And Tobit said to him, “I want to know, brother, your kindred and your name.”",Tobiti akamoboria nteebie ngo omwana ominto aye noy’omochie ki na egesaku kiao ’kereki.?
"And he said, “I am Azarias, the son of Ananias the great, of your kindred.”",Korende Rafaeli akamoboria “Nase ki oganetie komanya egesaku kiane?” Tobiti akamoteebia “Ekeene nindigetie gokomanya boigo nakomanya abaibori bao.”
"And he said to him, “Welcome, brother. Don’t be angry with me, because I sought to know your tribe and family. You are my brother, of an honest and good lineage; for I knew Ananias and Jathan, the sons of Shemaiah the great, when we went together to Jerusalem to worship, and offered the firstborn, and the tenths of our increase; and they didn’t go astray in the error of our kindred. My brother, you are of a great stock.","Rafaeli akamoteebia inche “Erieta riane na Asaria omwana bw’omogaka Anania, omino.”"
