concept_id,English,Kiswahili,Ekegusii,source,dataset_origin
100011,Statistics for Agricultural market access and dietary diversity in Kenya: Gender considerations towards improved household nutritional outcomes ...,Takwimu za upatikanaji wa soko la kilimo na utofauti wa lishe nchini Kenya: Mambo ya kuzingatia kuhusu jinsia kuelekea matokeo bora ya lishe ya kaya ...,Amangana arikire igoro yechiro yoboremi na oborageria obuya ase oboagare aiga Kenya: Korigeria buna ogotarengana gati mokungu nomasacha igoro yoborageria buya ase oboagare na ayarorekanire...,PSA,psa.csv
100012,"No entry without uniform and ID from January 6, 2025.","Hakuna kiingilio bila sare na kitambulisho kuanzia Januari 6, 2025.","Gosoa tikoiyo onye tobwati eyunifomu nekebande korwa chitariki 6 chiomotienyi 1, omwaka 2025.",PSA,psa.csv
100013,Large gatherings increase theft risks. Supervise herds and coordinate with security agencies.,Mikusanyiko mikubwa huongeza hatari za wizi. Simamia makundi ya wanyama na uratibu na vyombo vya usalama.,Omoganda omonenenbwabanto nigo okongusa abaibi. Renda etugo yao buya na bwaterana nabarendi boborendi.,PSA,psa.csv
100014,Cyclone Hidaya alert issued urging coastal residents to prepare for strong winds and floods.,Tahadhari ya Kimbunga Hidaya yatolewa ikiwataka wakazi wa pwani kujiandaa kwa upepo mkali na mafuriko.,Ogokurerwa igoro ya yomorindo omonene okorokwa Hidaya kwarwetwe gosorora abanto bamenyete ang'e na nyancha ukwearigania ase emerindo emene netoigo.,PSA,psa.csv
100015,A toll-free maternal health helpline is available for advice and emergency referrals. Dial 1195 anytime.,Simu ya usaidizi wa afya ya mama bila malipo inapatikana kwa ushauri na rufaa za dharura. Piga 1195 wakati wowote.,"Esimi ya okonyora obokonyi ase abasubati bakogonkia,nere aroro ase okoegwa obosemia na gokonywa Kwa obwango. Aka 1195 chinsa chinde chionsi",PSA,psa.csv
100016,This advanced course builds on the 'Fundamentals of ICT4D in Agriculture course' to enhance knowledge and capacity among IFAD staff and ...,Kozi hii ya hali ya juu inajengwa juu ya 'Misingi ya kozi ya ICT4D katika Kilimo' ili kuongeza maarifa na uwezo miongoni mwa wafanyakazi wa IFAD na ...,Ogosoma oko kwaigoro nigo gokoagacha igoro ya ayabwenerete ICT4D ime ya ekosi yoboremi kwangoyia chisemi nobangaini nokobua gati ase abakoreri IFAD na ...,PSA,psa.csv
100017,Report bullying instantly via 0800721524 – zero tolerance in all schools!,Ripoti uonevu mara moja kupitia 0800721524 – kutovumilia kabisa katika shule zote!,"Manyia kegima ebikoro bigosaria oboamate gati ya bana. Goetera esimi 0800721524, Ogochika oko goikeranigwe chisukuru chionso!",PSA,psa.csv
100018,Your vote counts! Learn about elections in school programs.,Kura yako inahesabika! Jifunze kuhusu uchaguzi katika programu za shule.,Ekura yao neyengencho! Soma igoro yemeroberio yobochori bweesukuru.,PSA,psa.csv
100019,NPS published a Text detailing roles and expectations of community policing in Nairobi County,NPS ilichapisha Nakala inayoelezea majukumu na matarajio ya polisi jamii katika Kaunti ya Nairobi,Ekeombe keria ekenene ki'abasikari nkiarigete amangana ameng'e agoteba buya emeremo na egekageire korwa abarendi boborndi bwebinyo ase ekaonti ya Nairobi.,PSA,psa.csv
100020,ACAT is the foremost agriculture technology transfer platform that facilitates structured dialogue and consensus building on game-changing novel technologies.,ACAT ni jukwaa bora zaidi la uhamishaji wa teknolojia ya kilimo linalowezesha mazungumzo yaliyopangwa na ujenzi wa makubaliano kuhusu teknolojia mpya zinazobadilisha mchezo.,CAT nomoroberio obeene bwokoererania chisemi chia tekinorochia gochia ase abarami ogendereretie chinkwana chia oboamo na ogwancheran amo buna enchera eyemo yokoreta ogoochoreia okoronge as oboremi.,PSA,psa.csv
100021,Children involved in legal matters should go through specialized courts to ensure fair and trauma-sensitive proceedings.,Watoto wanaohusika katika masuala ya kisheria wanapaswa kupitia mahakama maalum ili kuhakikisha kesi zinazowahusu watoto kwa haki na zinazowahusu kiwewe.,Ebina birengete abana goika ebina biabo bigamberwe ase chikoti chiabeene korora ng'a biagendiigwe buya birendete gotatubania obongo naende korwa obobe bwabete.,PSA,psa.csv
100022,DCI cautions the public against forged university admission letters being used to defraud parents. Always verify admission directly with the institution.,DCI inaonya umma dhidi ya barua bandia za udahili wa chuo kikuu zinazotumiwa kuwadanganya wazazi. Daima thibitisha udahili moja kwa moja na taasisi hiyo.,Omotuki omonene okureire aanainchi igoro yamarube yogosa eyunifasiti yoborimo agendererete gotimeka kongaina na koibera abaibori. Kera engaki chungusa rirube riogosoa eyunifasiti goetra uyunifasiti enyene.,PSA,psa.csv
100023,Gang violence rising in Nakuru; report suspicious activity.,Vurugu za genge la wahalifu zaongezeka Nakuru; ripoti shughuli zinazotiliwa shaka.,Ogosagananigwa nebikundi biabasaria aaria Nakuru; karue eripoti ase abagambi gose abasikari igoro yebikoru biechitang'utang'u.,PSA,psa.csv
100024,All boarding schools must install fire alarms + sprinklers by Jan 6 – CS orders!,Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,PSA,psa.csv
100025,Support teachers! Train educators for refugee students.,Wasaidie walimu! Wafunze waelimishaji kwa wanafunzi wakimbizi.,Sira abarimu! Egeria abasemia sase abana ba baria batamire chisegi korwa chinse chiabo.,PSA,psa.csv
100026,Transparent governance improves safety and service delivery. Stay alert and speak up in your community.,Utawala wa uwazi huboresha usalama na utoaji wa huduma. Endelea kuwa macho na zungumza katika jamii yako.,Obogambi bwa maiso marore nigo bogokongia oborendi nobokoreri. Kabe maiso na kwana igoro yobokengeka ase ekenyoro kiao.,PSA,psa.csv
100027,Prevent sexual harassment 2020.,Zuia unyanyasaji wa kijinsia 2020.,Tanga gokorera bobe abande gose chingencho chimbe 2020.,PSA,psa.csv
100028,We caution all to beware of fraudsters posing as Commission staff to solicit money in exchange for our services What is the Public Service Commission (PSC) It is a constitutional Service Commission established under Article 233 of the Constitution.,Tunawaonya wote wajihadhari na matapeli wanaojifanya wafanyakazi wa Tume kuomba pesa badala ya huduma zetu Tume ya Utumishi wa Umma (PSC) ni nini? Ni Tume ya Utumishi ya kikatiba iliyoundwa chini ya Kifungu cha 233 cha Katiba.,Twakureire bonsi bamanye igoro yabantop abarimo bagwekora bagwwekora abokori emeremo boboteneneri koibera abanto nga nkobaa bare obokoreri. Ninki Obotenereri Bwokoreri Bwabanto (PSC)? Nomoroberio bwerichiko obegetwe inse yerichiko 233 rierichiko rinene riense.,PSA,psa.csv
100029,"Report issues! Schools, set up grievance systems.","Ripoti masuala! Shule, weka mifumo ya malalamiko.","Manyia igoro yobokong'u bonde bwonsi! Chisukuru, karwe ribaga riokomanyigwa emechando.",PSA,psa.csv
100030,"These violations have occurred amid deep political divisions and the fragmentation of state institutions, fostering a pervasive culture of impunity that undermines media freedom, journalists' safety, and the public's right to information.","Ukiukaji huu umetokea katikati ya mgawanyiko mkubwa wa kisiasa na mgawanyiko wa taasisi za serikali, na kukuza utamaduni ulioenea wa kutokujali unaodhoofisha uhuru wa vyombo vya habari, usalama wa waandishi wa habari, na haki ya umma ya kupata habari.","Okobunwa kwa amachiko aya nigo kwabete ase eminano endito yegesiasa nokobagekana na gotakora emeremo amo ase chinsemo chionsi chiserikari, naigo korwa ribaga ase chingencho chiegesaku kogendereria obosareku ayio undermines media freedom, journalists' safety, and the public's right to information.",PSA,psa.csv
100031,Support refugees! Provide learning materials for refugee students.,Wasaidie wakimbizi! Toa vifaa vya kujifunzia kwa wanafunzi wakimbizi.,Sira baria batamire chisegi korwa sobo! Karwe ebinto biogosomera ase abana ba baria batamire chisegi korwa sobo.,PSA,psa.csv
100032,Teachers attend CBC training starting next week.,Walimu wanahudhuria mazoezi ya CBC kuanzia juma lijalo.,AAbarimu ikerana ase okwegerigwa igoro yechisemi chiria chirengete okwenyara gwa kera omwana nechisemi chiokwegenderia (CBC) gogochaka ewiki egocha.,PSA,psa.csv
100033,Build teacher resource centers 2022.,Jenga vituo vya rasilimali za walimu 2022.,Agacha chinyomba ase abaarimu bakonyora chisemi omwaka o 2022.,PSA,psa.csv
100034,Women in agriculture face distinct risks. Cooperatives should adopt prevention policies and reporting options.,Wanawake katika kilimo wanakabiliwa na hatari tofauti. Vyama vya ushirika vinapaswa kupitisha sera za kuzuia na chaguzi za kuripoti.,Abakungu bagokora emeremo ase oboremi nigo bare ase okonyorwa nemechando yabeene. Ebiombe bioboremi nere buya bitabe amachiko yogotanga nenchera yokorwa chiripoti.,PSA,psa.csv
100035,"The government must facilitate people's right to protest, an important way for citizens to express themselves and participate in governance processes,' said Mugambi Kiai, ARTICLE 19 Eastern Africa Regional Director.","Serikali lazima irahisishe haki ya watu ya kuandamana, njia muhimu kwa raia kujieleza na kushiriki katika michakato ya utawala,' alisema Mugambi Kiai, MAKALA YA 19 Mkurugenzi wa Kanda ya Afrika Mashariki.","Eserikari goika erwe ribaga rioboronge bwabanto facilitate people's right to protest, an important way for citizens korwa ebirengererio biabo, koboria amaswari na goteba buna bategete ase obogambi bwabo,' buna atebete Mugambi Kiai, Omoteneneri Omonene bworogongo rwa Africa ya Mocha RICHIKO19.",PSA,psa.csv
100036,Postpartum depression is real. Encourage new mothers to seek help and talk openly.,Msongo wa mawazo baada ya kujifungua ni halisi. Wahimize akina mama wapya kutafuta msaada na kuzungumza waziwazi.,Ogoichorerana kwa obongo nyuma ya koibora nobomaene Abàibori abageni basemigwe korigia obokonyi na gokwana maiso marore,PSA,psa.csv
100037,"Protect schools! Communities, guard against banditry.","Linda shule! Jamii, jilinde dhidi ya ujambazi.","Renda chisuku! Ebinyoro, tanga oboibi bwechiombe.",PSA,psa.csv
100038,Do not download apps from random websites. Always use Google Play Store or Apple App Store. Unverified apps may contain malware.,Usipakue programu kutoka kwa tovuti zisizo rasmi. Tumia Duka la Google Play au Duka la Programu la Apple kila wakati. Programu ambazo hazijathibitishwa zinaweza kuwa na programu hasidi.,"Tiga korusia ebikoreri biria bigonya esimi gokora egasi korwa eintaneti aende yonsi. Kera engaki binyore korwa Google Play Store gose Apple App Store"".",PSA,psa.csv
100039,"Authorities deployed surveillance, roadblocks, and emergency teams to ensure safety ahead of the Safari Rally.","Mamlaka ziliweka ufuatiliaji, vizuizi vya barabarani, na timu za dharura ili kuhakikisha usalama kabla ya Safari Rally.","Abarendi mbagegete obomongeri, ebitumo ase chipara, na baria bagokonya ekero kiemebasekano goikerania oborendi nyuma yamashindano yechigari.",PSA,psa.csv
100040,Economic abuse limits financial independence. Financial institutions should recognize warning signs and support affected customers.,Unyanyasaji wa kiuchumi hupunguza uhuru wa kifedha. Taasisi za fedha zinapaswa kutambua ishara za onyo na kuwasaidia wateja walioathiriwa.,Obosaria bwobogoko nigo bokomiga okwenyara nogwetenenera gwechibesa. Ebiombe baria bionsi bigokora nechibesa nere buya asebire komanya bwango emechando ere motwe na buna baranyare gokonya baria bakogachera chibesa chiabo.,PSA,psa.csv
100041,Cross-sector validation meeting held to align county and national nutrition strategies under KNAP.,Mkutano wa uthibitishaji wa sekta mtambuka ulifanyika ili kuoanisha mikakati ya lishe ya kaunti na kitaifa chini ya KNAP.,Okoomerana gotingia orosagia rookobekà amo chikaunti na orogongo rwa Kenya ase chindagera inse ya KNAP,PSA,psa.csv
100042,Keep emergency numbers programmed in your phone for quick access.,Weka nambari za dharura zikiwa zimepangwa kwenye simu yako ili zipatikane haraka.,Rika na kogacha esimi yaoime chinamba orarangerie chingaki chiemebasakano.,PSA,psa.csv
100043,"All COVID-19 vaccines are safe for use by adults, breastfeeding mothers and as per current WHO guidelines, can also be used by pregnant women upon recommendation by a qualified physician.","Chanjo zote za COVID-19 ni salama kwa matumizi ya watu wazima, akina mama wanaonyonyesha na kulingana na miongozo ya sasa ya WHO, zinaweza pia kutumiwa na wanawake wajawazito kwa mapendekezo ya daktari aliyehitimu.","Chisindani chia Covid 19 chionsi nechingiya ase okobetwa abanto abanene, abang'ina/abakungu bakogonkia kobwatekana namorokererio arure na WHO. Nabo chikoegwa abakungu bare morito, koreng'ana nogoetia k w'omonyagitari.",PSA,psa.csv
100044,"Promote integrity and transparency in all institutions. Together, we can prevent corruption before it starts.","Kukuza uadilifu na uwazi katika taasisi zote. Kwa pamoja, tunaweza kuzuia ufisadi kabla haujaanza.","Segeta ekeene nobomaiso marore ase chinsemo chionsi chiobokoreri. Ase oboamo, nabo togotanga obokorekanu tiboba.",PSA,psa.csv
100045,The National Counter Terrorism Centre continues public alerts urging vigilance and reporting of suspicious activity.,Kituo cha Kitaifa cha Kupambana na Ugaidi kinaendelea kutoa tahadhari kwa umma kikihimiza uangalifu na kuripoti shughuli zinazotiliwa shaka.,Ekeombe keria ekenene gekorwania obokebago bwokoruta chipomu (NCTC) nkegendererete korwa ogokurerwa na korwa amang'ana igoro yebikoru biechitang'utang'u gochia ase abarai.,PSA,psa.csv
100046,Secondhand smoke harms both the mother and the unborn baby. Keep homes and public spaces smoke-free.,Moshi wa mtu mwingine hudhuru mama na mtoto ambaye hajazaliwa. Weka nyumba na maeneo ya umma bila moshi.,Amarioki namabe ase abangina na abana bataraiborwa Beka chinka are nàmarioki,PSA,psa.csv
100047,Features civil liberties history in Kenya,Inaangazia historia ya uhuru wa raia nchini Kenya,Gekworokia oboroso bwobosibore na oboronge bwa kera omonto aiga Kenya,PSA,psa.csv
100048,"All pregnant women are encouraged to create a birth preparedness plan including identifying a health facility, arranging transport, and saving funds.","Wanawake wote wajawazito wanahimizwa kuunda mpango wa maandalizi ya kujifungua ikiwa ni pamoja na kutambua kituo cha afya, kupanga usafiri, na kuweka akiba ya fedha.","Abakungu bonsi bebwateranetie nigo bairwe omoyo barosie omopango bwo'gochi kobiara, amo na gochora enyagitari, kobanga esafari na kogacha chibesa .",PSA,psa.csv
100049,Announcement that CHV-led malnutrition screenings will now include mental wellbeing checks.,Tangazo kwamba uchunguzi wa utapiamlo unaoongozwa na CHV sasa utajumuisha uchunguzi wa ustawi wa akili.,"Okoraria inga oboringori bwokoragera bobe koraagwa na abanyagitari begenka, bamente obochenu bwobongo",PSA,psa.csv
100050,"Announcement of Kenya's first AI‑powered mental health & wellness platform offering tailored self-care, assessments, and access to professional counselling.","Tangazo la jukwaa la kwanza la afya ya akili na ustawi linaloendeshwa na akili bandia nchini Kenya linalotoa huduma ya kujitunza, tathmini, na ufikiaji wa ushauri nasaha wa kitaalamu.","Okorari egetii kiobochenu bw'obongo na kogendereri na obongo botari bwobomaene orogongo rwa Kenya buna orebwate buya, okoeneki nga mbuya, na ogoikera obosemi bwa ekerengo kiaigoro",PSA,psa.csv
100051,... Push Pull Technology is revolutionizing cowpea farming in Western Kenya. 16 July 2025. More News. Latest Updates. UK-CGIAR News. Exploring the ...,... Teknolojia ya Push Pull inaleta mapinduzi makubwa katika kilimo cha kunde Magharibi mwa Kenya. 16 Julai 2025. Habari Zaidi. Masasisho Mapya. Habari za Uingereza-CGIAR. Kuchunguza ...,Chisemi chiegesayansi chirengete goseria gose kobwata amakonde nebichuni bigosaria endagera mogondo ase okobukania ebimeri mogondo buna chimbisi aaria songo ya Kenya. 6 July 2025. More News. Latest Updates. UK-CGIAR News. Exploring the …,PSA,psa.csv
100052,"Teachers must submit TPAD data by June 30, 2025 to avoid payroll delays.","Ni lazima walimu wapeleke taarifa za TPAD kufikia Juni 30, 2025 ili kuepuka kulipia kuchelewa kwa shahada ya chini.","Abarimi goika batome emeroberio buna bagosomia gochia (TPAD) nyuma yechitariki 30 chiomotienyi 6, omwaka 2025 gotanyoria emeroberio yokorosia emesaara babo.",PSA,psa.csv
100053,"…technology transfer are taken into account, science is the main driver…. Push-pull technology that involves intercropping with specific forage….","...uhamisho wa teknolojia unazingatiwa, sayansi ndiyo kichocheo kikuu.... Teknolojia ya kusukuma-kuvuta inayohusisha kilimo mseto na malisho maalum....",Amasomo yobamanyi bwegetekinorochi ase abange nobwenerete korengererigwa buna ekebekerero kiaboronge goikerania oboremi bwokoburukania ebimeri nemete yokorenta ekiriri as ebimeri mogondo.,PSA,psa.csv
100054,Secure schools! Implement terror prevention measures.,Kulinda shule! Tekeleza hatua za kuzuia ugaidi.,"Renda chisukuru! Beka emeroberio korenda ng'a ebinto biesukuru mbuya bire, abana nabarimu boigo mbuya bare korwa.",PSA,psa.csv
100055,Grade 7 free feeding program starts Jan – 3 meals daily guaranteed!,Programu ya kulisha bila malipo ya Darasa la 7 inaanza Januari – Milo 3 kila siku imehakikishwa!,Abana begeredi gia 7 mbanyore endagera ya bosa gochakera omotienyi omtang'ani chindgera mara gatato kera rituko!,PSA,psa.csv
100056,"Announcement of staff health screening (BMI, blood pressure, blood sugar) and wellness baseline to shape ongoing workplace wellness programming.","Tangazo la uchunguzi wa afya ya wafanyakazi (BMI, shinikizo la damu, sukari ya damu) na msingi wa ustawi ili kuunda programu zinazoendelea za ustawi mahali pa kazi.","Okoraria okorenga obochenu ase abakori obochenu( BMI, ogoaka kwa amanyinga,esukari ase amanyinga) na korosia oboroso eeio korosia omoroberio yokoigwana ase emeremo",PSA,psa.csv
100057,Children struggling to speak or recognize sounds may have learning difficulties. Seek assessment from child specialists early.,Watoto wanaojitahidi kuzungumza au kutambua sauti wanaweza kuwa na matatizo ya kujifunza. Tafuta tathmini kutoka kwa wataalamu wa watoto mapema.,Abana bari babwate obokongu ase ogokwana gose goatora amang'ana nigo baratware obokongu bw'ogosoma . Rigia oboringori korwa a se omonyagitari bwa bana bwango.,PSA,psa.csv
100058,Engage students! Create forums to address unrest.,Washirikishe wanafunzi! Unda majukwaa ya kushughulikia machafuko.,Bwaterana nabana! Rosia ribaga riogokwanerana igoro yamangana abachandete.,PSA,psa.csv
100059,"Reports detailed police-ordered lockdowns on Saba Saba Day, including blocked routes, live fire, and escalated confrontations.","Ripoti zinaelezea kwa kina amri ya polisi ya kufungiwa kwa watu siku ya Saba Saba, ikiwa ni pamoja na njia zilizofungwa, mapigano ya moja kwa moja, na mapigano yaliyoongezeka.","Chiripoti igoro ya buna abasikari batangete ogotara, gosanga na koererania amangana rituko ria Saba Saba, goetra ogosieka chipara, okorasa chimbunde, na kogesa emeburukano.",PSA,psa.csv
100060,"Kenya confirms 10 more Covid-19 cases bringing the total number of confirmed infections to 384, nine of the new cases are from Mombasa and one from Nairobi","Kenya yathibitisha visa 10 zaidi vya Covid-19 na kufikisha jumla ya maambukizi 384, tisa kati ya visa vipya ni kutoka Mombasa na kimoja kutoka Nairobi.","Kenya koenekia abanto 10 komentekana ase okoambokerigwa oborwaire bwa COVID19 bonsi amo goika abanto 384. Ase abwo, 109 nigo bakorwa Mombasa na oyomo korwa Nairobi.",PSA,psa.csv
100061,"The rights of citizens to vote and to be elected at periodic, genuine democratic elections are internationally recognized human rights.",Haki za raia kupiga kura na kuchaguliwa katika chaguzi za kidemokrasia za mara kwa mara na za kweli ni haki za binadamu zinazotambuliwa kimataifa.,"Oboronge bwabanainch goaka chikura na korigia chikura gochorwa ase chingaki gete, gobochori bwaboronge nigo bokobeka motwe gose bogosika oboronge bwekemwanyabanto.",PSA,psa.csv
100062,Enroll now! Free primary education for all Kenyan children.,Jiandikishe sasa! Elimu ya msingi bila malipo kwa watoto wote wa Kenya.,Erike bono! Amasomo abosa ase abana bechisukuru chioboroso.,PSA,psa.csv
100063,"Practice environmental stewardship by adopting methods that protect soil, water, and biodiversity in your dairy farm.","Fanya mazoezi ya utunzaji wa mazingira kwa kutumia mbinu zinazolinda udongo, maji, na bioanuwai katika shamba lako la maziwa.","Egera obokoreri bwamasingira ase okobwatia chingencho omoroberio chiria okorenda riroba, amache, nebitonwa binde ase omogondo oo.",PSA,psa.csv
100064,Security agencies receive updated protocols for data and intelligence sharing.,Mashirika ya usalama hupokea itifaki zilizosasishwa za kushiriki data na ujasusi.,Ebitengo bioborendi nkomanyigwa bire emeroberio emeyia yogokora emeremo yabo ase amangana na koererania obotuki.,PSA,psa.csv
100065,"Conserve biodiversity on your farm by protecting native plants, creating wildlife corridors, and using diverse crop/livestock varieties.","Hifadhi bioanuwai kwenye shamba lako kwa kulinda mimea ya asili, kuunda korido za wanyamapori, na kutumia aina mbalimbali za mazao/mifugo.","Kora oboremi boria bokorenda gose kogesam amakonde ase riroba aria okorosia obotobu, korenda emete yekienyeji, gitera ebimeri biao tibisarigwa netugo gose chingiti chinde chiorosana, burukania ebimeri mogondo gose gotuga etugo ao ao.",PSA,psa.csv
100066,"Let's avoid sharing propaganda, unverified information, and graphic images in order not to add to the distress of the affected.","Tuepuke kushiriki propaganda, taarifa zisizothibitishwa, na picha za picha ili tusiongeze dhiki kwa walioathiriwa.","Totige korandarandia amangana yoborimo, amangana ataramanyekana boronge, amo nechibicha erio titoba abakogesa obororo ase baria bare nobokong'u.",PSA,psa.csv
100067,Keep learning! Enroll in schools despite drought challenges.,Endelea kujifunza! Jiandikishe katika shule licha ya changamoto za ukame.,Genderera gosoma! Soa chisukuru nonya obokongu bweguragura boreo.,PSA,psa.csv
100068,Every child learns! Support refugee students in schools.,Kila mtoto hujifunza! Wasaidie wanafunzi wakimbizi mashuleni.,Kera omwana ngosoma are! Konya abana ba baria batamire chisegi korwa sobo gosoa chisukuru.,PSA,psa.csv
100069,APS outlines community‑policing & conflict resolution functions,APS inaelezea kazi za polisi jamii na utatuzi wa migogoro,Abasikari bobokoreri (APS) baeire abarendi boborendi buna babwenerete gokora mechando ende meke goetera chinkwana erio gokora eminano.,PSA,psa.csv
100070,ODM Leader Raila Odinga urges residents of Migori County to register as party members.,Kiongozi wa ODM Raila Odinga awahimiza wakazi wa Kaunti ya Migori kujiandikisha kama wanachama wa chama.,omorai bw'ekiama gia odm Raila odinga obasemirie abamenyi bekaunti ya migori kwerikia buna abanyene ekiama.,PSA,psa.csv
100071,The rapid penetration and development of digital technologies has the potential to revolutionise the ways in which poor farmers receive and exercise information ...,Kupenya kwa kasi na maendeleo ya teknolojia za kidijitali kuna uwezo wa kuleta mapinduzi katika njia ambazo wakulima maskini hupokea na kutumia taarifa ...,Gosoa bwango na kogendereria tekinorochia yegedichitari nere nechinguru chiokorenta ogoonchoreria chingencho buna abaremi abataka bakonyora na gotumia amang'ana ...,PSA,psa.csv
100072,Education for all! Enroll in mobile schools in pastoralist regions.,Elimu kwa wote! Jiandikishe katika shule zinazohamishika katika maeneo ya wafugaji.,Chisemi ase bonsi! Erike ase omoroberio bwogosoma goetera chisimi giose chikombiuta ase abatugi bari bakong'anyang'anya.,PSA,psa.csv
100073,Stay updated on the latest research findings from Egerton University on topics like new crop varieties relevant to your dairy farming.,Endelea kupata taarifa mpya kuhusu matokeo ya utafiti kutoka Chuo Kikuu cha Egerton kuhusu mada kama vile aina mpya za mazao zinazohusiana na ufugaji wako wa ng'ombe wa maziwa.,Tigara kiomanyete igoro yobokongoase ebirenga ebiyia yembusuro enyia ebwenerete oboremi bwao bwetugo yamabere.,PSA,psa.csv
100074,"After the 2015 Garissa University attack, authorities increased security and encouraged vigilance in learning institutions.","Baada ya shambulio la Chuo Kikuu cha Garissa la mwaka 2015, mamlaka ziliongeza usalama na kuhimiza umakini katika taasisi za elimu.","Ekero eyunifasity ya Garissa yasaganetwe nobokebago bwogoakwa epomu, abarai mbagesete oborendi na gosegeta obomongeria ime yechisukuru.",PSA,psa.csv
100075,National Assembly Speaker Moses Wetang'ula urges county governments to support the government's push to have Kenyans register for SHA.,Spika wa Bunge la Kitaifa Moses Wetang'ula anazisihi serikali za kaunti kuunga mkono juhudi za serikali za kuwataka Wakenya kujiandikisha katika SHA.,omonogeri ase bunged enene yense Moses wetangula orure okoboria gochia ase chiserekari chiechikaunti koenekia ng'a abanto bonsi kwerikia ase omoroberio bw'obobwenia SHA,PSA,psa.csv
100076,"Gender-based violence reporting desks established in 1,000 schools.",Waathiriwa wa GBV wanapata ushauri nasaha bila malipo + msaada wa kisheria piga 0800721524 sasa!,"Ensemo yokomanyia igoro yogochegigwa (GBV) chiabekirwe ime yechisukuru 1,000.",PSA,psa.csv
100077,The government advises motorists to remain vigilant about to promote accountability.,Serikali inawashauri madereva kuwa macho ili kukuza uwajibikaji.,Eserekari yarure okoboria ase abarundia koba maiso erio gokinia oboene nobwasioku ase obokoreri.,PSA,psa.csv
