English,Kiswahili,Ekegusii,Domain
"A good sweet potatoes variety planted in Nakuru Kenya are eaten across East Africa. Maize has maintained as a core crop over time. However, it has been hit with diseases since then. This has brought about harvest losses and a threat to food security in Kenya. For this reason, from 2008, kenyan government decided to remove dependency on maize by adopting potatoes.",N/A - Pending Fine-Tuned Model Inference,"Embusuro engiya yamarabwoni agosimekwa aria Nakuru Kenya nigo akoriegwa Afrika ya mocha engima.Ebituma nabio endagera enene ase emiaka amagicho . Korende, oboremi obo ase engaki entambe bwebibituma bwagosirwe nendwari . Goetera endwari eye rigesa riebutuma riakeanire na igo komenta enhara. Ase igo, korwa omwaka 2008, borai bweserakari ya Kenya nogendereta korigwa endagera rika rie bituma na goikera oboremi bwa amarabwoni buna obwengencho.",Agriculture
"NATIONAL TREASURY INITIATES TRANSITION TO ACCRUAL BASIS ACCOUNTING The National Treasury is pleased to announce the commencement of the transition from cash -basis accounting to the International Public Sector Accounting Standards (IPSAS) accrual basis, marking an important step in public financial management reform.","HAZINA YA TAIFA YAANZISHA MAPITO YA UHASIBU WA MSINGI UTAYARISHAJI Hazina ya Kitaifa inafuraha kutangaza kuanza kwa mageuzi kutoka kwa uhasibu wa msingi wa fedha kwenda kwa viwango vya kimataifa vya uhasibu katika sekta ya umma (IPSAS), kuashiria hatua muhimu katika mageuzi ya usimamizi wa fedha za umma.",N/A - Pending Fine-Tuned Model Inference,Governance
UNODC and Kenya partnership to enhance legal frameworks and build investigative capacity against terrorism.,N/A - Pending Fine-Tuned Model Inference,Ekeombe kiobomo bwechinse chiria chikwegambera korwania amariogo agotindia (UNODC) goetera okobwaterana na Kenya mbabwateranete goikerania amachiko yokorwania obokebago na gokinia chinguru chiobotuki bwobokebago bwokoruta chipomu.,Security
Kitale National Polytechnic introduces drone technology training.,N/A - Pending Fine-Tuned Model Inference,Kitale National Polytechnic yachakire gosomia abana chisemi chiokogendia chindege chitari nomogendia (Drone).,Education
AATF ( African Agricultural Technology Foundation) is a non profit making organisation with sensitization programs among small scale farmers in desert Africa.,N/A - Pending Fine-Tuned Model Inference,AATF (African Agricultural Technology Foundation aiga Afrika nekemo kiebiombe getari korosia obaita aiga Afrika kegendereretie koereria chisemi as abaremi bemegondo emeke aiga Afrika yensemo enyomo,Agriculture
"To differentiate, farming using CSA has three pillars: increase yields progressively, profitable produce and build resilience.",N/A - Pending Fine-Tuned Model Inference,"Ase ogoatanana, oboremi goetera CSA nigo borengete chisiro isato: kogesa rigesa ase enchera yokwegendereria nebitoki ebiya erio goikerania oboremi bwonchoreria as okonyora ebiitoki ebiya as abaremi na ogwetenenera.",Agriculture
"Emplyers are able to know their employees suffering from mental problems when at work by obserbing their change in character, through absenteeism, non productivity or isolating from other workers",N/A - Pending Fine-Tuned Model Inference,"Abariki chigasi nabo bakonyara komanya ebiorokereri biobokong'u bwoborwaire bw'obongo ekero bare ase egasi ase okorora oboonchoreria bwebikoru biabo, buna okoriya emeremo, ogotaikerania emeremo buya gose kwerusanania korwa ase abokori emeremo bamwabo.",Health
Embu (Mbeere) County: Drought Early Warning Bulletin for August 2024,Kaunti ya Embu (Mbeere): Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
The Solutions and Mobility Index (SMI) for Tana River County aims to assess progress toward durable solutions for displaced populations (IDPs and IDP returnees).,"Uhamisho wa watu katika kaunti ni changamani, unachangiwa na hatari za asili kama vile ukame au mafuriko, ukosefu wa usalama na uhaba wa rasilimali.",N/A - Pending Fine-Tuned Model Inference,Governance
Discussion of Kenya’s intelligence led counter terrorism operations informed by past attacks.,N/A - Pending Fine-Tuned Model Inference,"Chinkwana chiobotuki bwa Kenya nekeombe keria kiobotuki gokinana nobokebago bwokoruta chipomu, nemeremo yakoretwe nigo yasiretwe nokomanya kwa ayakoregete nyuma.",Security
"The KCC’s approach is guided by the understanding that how assistance is delivered, the scale of delivery, and what partners are engaged, account for the largest gains and losses in efficiency and effectiveness.","Mtazamo wa KCC unaongozwa na ufahamu kwamba jinsi usaidizi unavyotolewa, ukubwa wa utoaji, na washirika gani wanashirikishwa, huchangia faida na hasara kubwa zaidi katika ufanisi na ufanisi.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"PAUSTI which is hosted at Jomo Kenyatta University of Agriculture and Technology in Nairobi, Kenya, opened its doors to the pioneer students in November 2012. The inaugural cohort graduated in record time in November 2014.","PAUSTI ambayo inaandaliwa katika Chuo Kikuu cha Kilimo na Teknolojia cha Jomo Kenyatta huko Nairobi, Kenya, ilifungua milango yake kwa wanafunzi waanzilishi mnamo Novemba 2012. Kundi la waanzilishi walihitimu katika muda wa rekodi mnamo Novemba 2014.",N/A - Pending Fine-Tuned Model Inference,General
"..farm produce, together with agibusiness sector, the market has a favour of oligopolistic dimension to attain their market needs..though there's pressure from large scale farmers, posing a challenge from reaching markets with their produce..",N/A - Pending Fine-Tuned Model Inference,"…oboremi nerigesa, naboigo goikerania echiro yoboremi bwabo bwoboonchoreria nigo bamigire nabaremi bake bemegondo emenene na yabeire akong'u goikera echiro yerigesa riabo…..",Agriculture
Ministry of Education conducts VR-based teacher training workshops to familiarize educators with immersive teaching tools.,N/A - Pending Fine-Tuned Model Inference,Eminisitiri yechisemi nkoba ere nemeroberio bwokoroberia na koira amasomosomo abeene ase abarimu goetera etekinorochia yebiorokererio goetera chitibi gati yomwana nowarimu.,Education
Overcoming scarcity: how local innovations are transforming Western Kenya’s agricultural landscapes (December 2025),Kushinda uhaba: jinsi ubunifu wa ndani unavyobadilisha mandhari ya kilimo ya Magharibi mwa Kenya (Desemba 2025),N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Good yields have been noticed with mixing maize and desmodium for introducing shades, the push-pull approach.",N/A - Pending Fine-Tuned Model Inference,201. Rigesa rigiya ndianyorekanete koburania ebituma nekemeria gia deimidiam as engencho yogosegeta koburukania ebimeri biendagera amo nebimeri binde amo nemete gokoreta ekiriri as ebimeri.,Agriculture
"The Pan African University Institute for Basic Sciences, technology and Innovation (PAUSTI) prides itself as a postgraduate hub of research and innovation featuring a highly diverse faculty, and students drawn from whole of Africa.","Taasisi ya Chuo Kikuu cha Pan African cha Sayansi ya Msingi, teknolojia na Ubunifu (PAUSTI) inajivunia kama kitovu cha uzamili cha utafiti na uvumbuzi unaojumuisha kitivo cha anuwai, na wanafunzi wanaotolewa kutoka Afrika nzima.",N/A - Pending Fine-Tuned Model Inference,General
"The launch of the plan to defend digital services, to promote good encouragement through nowardays organizations to leverage foods from FOP, and policy change.",N/A - Pending Fine-Tuned Model Inference,"Ogochakigwa kwomoroberio bwokoegerera obokoreri bwegedichitali, gosegeta ogotiotereri okuya amo nebiombe bia bono erio koaranani chindagera, okobeka amang'ana a'FOP, na oboonchoreri bwamachiko",Health
The H.E. will also engage on the importance of accelarating local manufacturing of vaccines & access to a future Covid-19 vaccine. #KomeshaCorona update.,H.E. pia itahusisha umuhimu wa kuongeza kasi ya utengenezaji wa chanjo nchini na upatikanaji wa chanjo ya baadaye ya Covid-19. #KomeshaCorona sasisho.,N/A - Pending Fine-Tuned Model Inference,Public Health
We call upon the County governments to make use of the guidelines on nutritional Management of COVID-19 to educate the communities on how they can boost their immunity. health.go.ke #KomeshaCorona update,Tunatoa wito kwa serikali za Kaunti kutumia miongozo kuhusu Usimamizi wa lishe wa COVID-19 ili kuelimisha jamii kuhusu jinsi wanavyoweza kuimarisha kinga yao. health.go.ke #KomeshaCorona sasisho,N/A - Pending Fine-Tuned Model Inference,Public Health
Kilifi County: Drought Early Warning Bulletin for June 2022,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Juni 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"These areas, along with surrounding regions, have numerous informal and non-designated border crossing points that were not monitored by security or health officials.",Ukaribu wa kijiografia wa sehemu hizi za kuingilia ulisisitiza hatari kubwa ya maambukizi ya kuvuka mipaka inayoendeshwa na mwingiliano wa mara kwa mara wa kijamii na kiuchumi.,N/A - Pending Fine-Tuned Model Inference,Health
"Kenya - Floods, update (Kenya Met, media) (ECHO Daily Flash of 26 April 2024)","Kenya - Mafuriko, sasisho (Kenya Met, vyombo vya habari) (ECHO Daily Flash ya 26 Aprili 2024)",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"'The government must facilitate people's right to protest, an important way for citizens to express themselves and participate in governance processes,' said Mugambi Kiai, ARTICLE 19 Eastern Africa Regional Director.",N/A - Pending Fine-Tuned Model Inference,"Eserikari goika erwe ribaga rioboronge bwabanto facilitate people's right to protest, an important way for citizens korwa ebirengererio biabo, koboria amaswari na goteba buna bategete ase obogambi bwabo,' buna atebete Mugambi Kiai, Omoteneneri Omonene bworogongo rwa Africa ya Mocha RICHIKO19.",Governance
"Let us continue to observe the containment measures of hand washing, maintaining social and physical distance and wearing of face masks among others. #KomeshaCorona update.","Wacha tuendelee kuzingatia hatua za kuzuia za kunawa mikono, kudumisha umbali wa kijamii na mwili na uvaaji wa barakoa kati ya zingine. #KomeshaCorona sasisho.",N/A - Pending Fine-Tuned Model Inference,Public Health
"Validation of elimination of mother-to -child transmission of HIV, syphilis and hepatitis B","Uthibitishaji wa kutokomeza maambukizi ya VVU kutoka kwa mama kwenda kwa mtoto, kaswende na hepatitis B",N/A - Pending Fine-Tuned Model Inference,General
"InMarsabit county(North Horr), KRCS reports reaching5,200+ householdsthrough such integrated packages, including targeted feed support alongside emergency water and food, an approach designed to stabilize incomes and prevent deeper asset loss while broader conditions remain crisis‑level.","Kaunti ya InMarsabit(North Horr), KRCS inaripoti kufikia kaya 5,200+ kupitia vifurushi hivyo vilivyounganishwa, ikiwa ni pamoja na usaidizi unaolengwa wa malisho pamoja na maji na chakula cha dharura, mbinu iliyobuniwa kuleta utulivu wa mapato na kuzuia upotevu mkubwa wa mali huku hali pana zikisalia kuwa kiwango cha mgogoro.",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"International experience confirms this reality. During the Ebola crisis in West Africa, outcomes began to improve when communities became actively involved in the response. Community leaders, local organizations, and traditional authorities helped rebuild trust and tailor solutions to the population’s needs.","Uzoefu wa kimataifa unathibitisha ukweli huu. Wakati wa mzozo wa Ebola katika Afrika Magharibi, matokeo yalianza kuboreka wakati jamii ziliposhiriki kikamilifu katika kukabiliana na ugonjwa huo. Viongozi wa jumuiya, mashirika ya ndani, na mamlaka za kitamaduni zilisaidia kujenga upya uaminifu na kuleta masuluhisho ya mahitaji ya watu.",N/A - Pending Fine-Tuned Model Inference,General
"Severe droughts in Kenya drive child marriage, increasing the risk of modern slavery","Ukame mkali nchini Kenya unachochea ndoa za utotoni, na kuongeza hatari ya utumwa wa kisasa",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
PSA encouraging use of organic fertilizers to improve soil health.,N/A - Pending Fine-Tuned Model Inference,PSA nogo egosegeta enchera yogotumia obwoyo bwekweroseria goera eubi ao ao erio kogesa afia engiya ase riroba riao,Agriculture
Kajiado County: Drought Early Warning Bulletin for May 2023,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame la Mei 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Climate-smart agriculture practices include holistic integration, crop adaptation, livestock management, land/water management, and efficient energy use.",N/A - Pending Fine-Tuned Model Inference,"Kwegera omoroberio bwoboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura nigo orengete okobwaterana chinsemo chinyinge buna, gosimeka ebimeri biria bikoremereria rire, oboremi bwetugo obuya, oborendi obuya bwemegondo/amache, na ogotumeka okuya gwechinguru chiomorero.",Agriculture
Ministry of Education launches a digital portal for school health and nutrition data collection and management.,N/A - Pending Fine-Tuned Model Inference,Eminisitiri yechisemi yaansire emeroberio yegeintaneti arengete afia yechisukuru na gosangereria amang'ana na koyatumia buya igoro yoborageria obuya.,Education
"All gatherings, sports,celebrtions and worship gatherings have been suspended. Religious meetings may continue with their worshing programs if they observe prevention measures. Schools will also remain open if they observe protocols but sports have been suspended.",N/A - Pending Fine-Tuned Model Inference,"Emesangererekano yonsi, chigosori, emeyega amo na emesangererekano yechikanisa yatenenigwe. Chikanisa nabo chikoba nesangererekano yamasabo onye rioka chikobeka esabuni yogosibia amaboko. Chisukuru nabo chigotigara koigorwa korende chigosori gati ye chisukuru chiatenenigwe.",Health
"Provide adequate and appropriate skilled Artisans, Craftsmen, Technicians and Technologists at all levels of the economy through practical training and work experience;","Kutoa Mafundi, Mafundi, Mafundi na Wataalamu wa Teknolojia wa kutosha na wanaofaa katika ngazi zote za uchumi kupitia mafunzo ya vitendo na uzoefu wa kazi;",N/A - Pending Fine-Tuned Model Inference,General
Kwale County: Drought Early Warning Bulletin for October 2024,Kaunti ya Kwale: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Oktoba 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Laikipia County: Drought Early Warning Bulletin for August 2024,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Agosti 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Garissa County: Drought Early Warning Bulletin for March 2022,Kaunti ya Garissa: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya | Humanitarian response 2024 - DG ECHO Daily Map | 06/12/2024,Kenya | Majibu ya kibinadamu 2024 - Ramani ya Kila Siku ya DG ECHO | 06/12/2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Technical and Vocational education Policy Development and Management,Elimu ya Ufundi na Ufundi Maendeleo na Usimamizi wa Sera,N/A - Pending Fine-Tuned Model Inference,General
KICD provides guidelines and resources for continued home learning during the extended school closures.,N/A - Pending Fine-Tuned Model Inference,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) nkorwa kere oborai na ogokonya igoro yokogendera gosomera inka chingaki chisukuru chisiegete.,Education
"Our focus is to ensure that every Kenyan accesses high quality health services."" The new resources will strengthen emergency referral care, expand oxygen capacity, help reduce maternal and newborn deaths in high burden counties, and improve Kenya's readiness to respond to cholera, Mpox, and other public health threats.","Lengo letu ni kuhakikisha kwamba kila Mkenya anapata huduma za afya za hali ya juu."" Rasilimali hizo mpya zitaimarisha huduma ya rufaa ya dharura, kupanua uwezo wa oksijeni, kusaidia kupunguza vifo vya kina mama na watoto wachanga katika kaunti zenye mzigo mkubwa, na kuboresha utayari wa Kenya kukabiliana na kipindupindu, Mpox na vitisho vingine vya afya ya umma.",N/A - Pending Fine-Tuned Model Inference,Health
"As the infection progressively weakens the immune system, an individual can develop other signs and symptoms, such as swollen lymph nodes, weight loss, fever, diarrhoea and cough. Without treatment, they could also develop severe illnesses such as tuberculosis, cryptococcal meningitis, severe bacterial infections and cancers such as lymphomas and Kaposi's sarcoma, among others.","Maambukizi yanapozidi kudhoofisha mfumo wa kinga, mtu anaweza kupata dalili na dalili zingine, kama vile nodi za limfu zilizovimba, kupungua uzito, homa, kuhara na kikohozi. Bila matibabu, wanaweza pia kupata magonjwa makali kama vile kifua kikuu, uti wa mgongo wa cryptococcal, maambukizo makali ya bakteria na saratani kama vile lymphomas na sarcoma ya Kaposi, miongoni mwa mengine.",N/A - Pending Fine-Tuned Model Inference,General
Meru County: Drought Early Warning Bulletin for September 2024,Kaunti ya Meru: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Septemba 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Livestock for Health in Kenya: Resilience good practice - Nutrition and resilience,Mifugo kwa ajili ya Afya nchini Kenya: Kustahimili utendaji mzuri - Lishe na ustahimilivu,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
USDA promotes regenerative agriculture for livestock.,N/A - Pending Fine-Tuned Model Inference,USDA negendererete gosegeta oboremi bokorenda obotobu bweriroba as afia yetugo.,Agriculture
Laikipia County: Drought Early Warning Bulletin for July 2022,Kaunti ya Laikipia: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kenya Anticipatory Action Roadmap 2024 - 2029,Ramani ya Hatua ya Kutarajia ya Kenya 2024 - 2029,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Kenya Price Bulletin, May 2023","Taarifa ya Bei ya Kenya, Mei 2023",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Kilifi County: Drought Early Warning Bulletin for July 2024,Kaunti ya Kilifi: Taarifa ya Onyo la Mapema kuhusu Ukame Julai 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
West Pokot: Drought Early Warning Bulletin for March 2024,Pokot Magharibi: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2024,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Mandera County: Drought Early Warning Bulletin for January 2023,Kaunti ya Mandera: Taarifa ya Onyo la Mapema kuhusu Ukame la Januari 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Busia women rep urges the government to implement the county Revenue Bill.,N/A - Pending Fine-Tuned Model Inference,omobunge omochore ase ekaunti ya Busia orure okoboria gochia ase  eserekari yekaunti eyuo goikerania ebirenga biebango ase ekaunti eyuo.,Governance
"Secretary-General deeply concerned over reported deadly violence related to protests, street demonstrations in Kenya","Katibu Mkuu amehuzunishwa sana na ghasia mbaya zilizoripotiwa kuhusiana na maandamano, maandamano ya mitaani nchini Kenya",N/A - Pending Fine-Tuned Model Inference,Disaster/Health
Announcement that the Kenya National Commission on Human rights to include mental health in its services as part of human rights,N/A - Pending Fine-Tuned Model Inference,Okorari ng'a Ekeombe Ekenene Giokoegerera Mwanyabanto kemente obochenu bwobongo buna obomaene bwa mwanyabanto,Health
PART V—PUBLIC SERVICE OBLIGATIONS Public Service Obligations.,N/A - Pending Fine-Tuned Model Inference,N/A - Pending Fine-Tuned Model Inference,General
Kitui County: Drought Early Warning Bulletin for March 2023,Kaunti ya Kitui: Taarifa ya Onyo la Mapema kuhusu Ukame kwa Machi 2023,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
"Abdullahi fled conflict in 1994 in rural Lower Juba region in southern Somalia, where his family had depended on livestock that they have lost.","Abdullahi alikimbia vita mwaka 1994 katika eneo la vijijini la Juba ya Chini kusini mwa Somalia, ambapo familia yake ilikuwa ikitegemea mifugo ambayo imepoteza.",N/A - Pending Fine-Tuned Model Inference,Agriculture
Kajiado County: Drought Early Warning Bulletin for October 2022,Kaunti ya Kajiado: Taarifa ya Onyo la Mapema kuhusu Ukame ya Oktoba 2022,N/A - Pending Fine-Tuned Model Inference,Disaster/Health
