English,Ekegusii,Domain,dup_target,encoding_ok
This advanced course builds on the 'Fundamentals of ICT4D in Agriculture course' to enhance knowledge and capacity among IFAD staff and ...,Ogosoma oko kwaigoro nigo gokoagacha igoro ya ayabwenerete ICT4D ime ya ekosi yoboremi kwangoyia chisemi nobangaini nokobua gati ase abakoreri IFAD na ...,Agriculture,True,True
Report bullying instantly via 0800721524 – zero tolerance in all schools!,"Manyia kegima ebikoro bigosaria oboamate gati ya bana. Goetera esimi 0800721524, Ogochika oko goikeranigwe chisukuru chionso!",Education,False,True
Your vote counts! Learn about elections in school programs.,Ekura yao neyengencho! Soma igoro yemeroberio yobochori bweesukuru.,Education,False,True
NPS published a Text detailing roles and expectations of community policing in Nairobi County,Ekeombe keria ekenene ki'abasikari nkiarigete amangana ameng'e agoteba buya emeremo na egekageire korwa abarendi boborndi bwebinyo ase ekaonti ya Nairobi.,Security,False,True
"Make up a good agri business plan, incorporating irrigation or dairy farming . Learn basic tips and loans acquisition.",Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,Agriculture,True,True
Announcement on educating people in the whole region on poor eating habits in the counties,Okoraria kwa amaegerio ase orogongo orogima erio gosegeta emeroberio yobobwenia ase ogotanga koragera orachi ase chikaunti,Health,False,True
ACAT is the foremost agriculture technology transfer platform that facilitates structured dialogue and consensus building on game-changing novel technologies.,CAT nomoroberio obeene bwokoererania chisemi chia tekinorochia gochia ase abarami ogendereretie chinkwana chia oboamo na ogwancheran amo buna enchera eyemo yokoreta ogoochoreia okoronge as oboremi.,Agriculture,False,True
Detailed research done in Northern Nigeria with AATF and partners has borne great perspective among maize farmers .,"Obokongoria bwabeene bwakoretwe aria Irianyi ya Nigeria na AATF, na abamwabo mbwaorokerertie ng'a ogotareng'ana gati yomonto omosacha na okungu ase engencho yobogambi na ekemira igoro yoboremi bwabobuna nomochando omonene as oboremi bwebituma.",Agriculture,True,True
Children involved in legal matters should go through specialized courts to ensure fair and trauma-sensitive proceedings.,Ebina birengete abana goika ebina biabo bigamberwe ase chikoti chiabeene korora ng'a biagendiigwe buya birendete gotatubania obongo naende korwa obobe bwabete.,Security,False,True
"To attain market access and to support such institutional programs in a country is a central support..availability and grants on agricultural markets and insured agriculture . In County, priorities are taken seriously..","Goikera echiro yoboremi na gosira emeroberio yekeombe ekio kiogokonya oboremi. As ense, omoroberio ogati orengete gosira ...",Agriculture,True,True
DCI cautions the public against forged university admission letters being used to defraud parents. Always verify admission directly with the institution.,Omotuki omonene okureire aanainchi igoro yamarube yogosa eyunifasiti yoborimo agendererete gotimeka kongaina na koibera abaibori. Kera engaki chungusa rirube riogosoa eyunifasiti goetra uyunifasiti enyene.,Security,False,True
"Upgraded polio vaccine being administered. Some mothers complain of 'serious' symptoms. Ministry says symptoms, reactions are normal","Echancho ya polio engikeranu yarurwe Abangina bande bemurunganiri ase ebimanyererio 'ebibe' Ewizara yatebire, ebimanyererio nebia botambe",Health,False,True
Gang violence rising in Nakuru; report suspicious activity.,Ogosagananigwa nebikundi biabasaria aaria Nakuru; karue eripoti ase abagambi gose abasikari igoro yebikoru biechitang'utang'u.,Security,False,True
TVETA launches a mobile learning app providing access to tutorials and assessments for TVET students on the go.,Aborai bwekeombe keria ekenene getenerete chikorechi chiobobundi nechisemi chiokwegendereria TVETA lyaansire amasomo goetera egekoreri gieintaneti gekworokereria buan abarimu bakorenga abana namasomo abo ase TVET na kogenderera .,Education,False,True
"A good sweet potatoes variety planted in Nakuru Kenya are eaten across East Africa. Maize has maintained as a core crop over time. However, it has been hit with diseases since then. This has brought about harvest losses and a threat to food security in Kenya. For this reason, from 2008, kenyan government decided to remove dependency on maize by adopting potatoes.","Embusuro engiya yamarabwoni agosimekwa aria Nakuru Kenya nigo akoriegwa Afrika ya mocha engima.Ebituma nabio endagera enene ase emiaka amagicho . Korende, oboremi obo ase engaki entambe bwebibituma bwagosirwe nendwari . Goetera endwari eye rigesa riebutuma riakeanire na igo komenta enhara. Ase igo, korwa omwaka 2008, borai bweserakari ya Kenya nogendereta korigwa endagera rika rie bituma na goikera oboremi bwa amarabwoni buna obwengencho.",Agriculture,True,True
UNODC and Kenya partnership to enhance legal frameworks and build investigative capacity against terrorism.,Ekeombe kiobomo bwechinse chiria chikwegambera korwania amariogo agotindia (UNODC) goetera okobwaterana na Kenya mbabwateranete goikerania amachiko yokorwania obokebago na gokinia chinguru chiobotuki bwobokebago bwokoruta chipomu.,Security,False,True
All boarding schools must install fire alarms + sprinklers by Jan 6 – CS orders!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,Education,False,True
Kitale National Polytechnic introduces drone technology training.,Kitale National Polytechnic yachakire gosomia abana chisemi chiokogendia chindege chitari nomogendia (Drone).,Education,False,True
AATF ( African Agricultural Technology Foundation) is a non profit making organisation with sensitization programs among small scale farmers in desert Africa.,AATF (African Agricultural Technology Foundation aiga Afrika nekemo kiebiombe getari korosia obaita aiga Afrika kegendereretie koereria chisemi as abaremi bemegondo emeke aiga Afrika yensemo enyomo,Agriculture,True,True
"To differentiate, farming using CSA has three pillars: increase yields progressively, profitable produce and build resilience.","Ase ogoatanana, oboremi goetera CSA nigo borengete chisiro isato: kogesa rigesa ase enchera yokwegendereria nebitoki ebiya erio goikerania oboremi bwonchoreria as okonyora ebiitoki ebiya as abaremi na ogwetenenera.",Agriculture,True,True
"Emplyers are able to know their employees suffering from mental problems when at work by obserbing their change in character, through absenteeism, non productivity or isolating from other workers","Abariki chigasi nabo bakonyara komanya ebiorokereri biobokong'u bwoborwaire bw'obongo ekero bare ase egasi ase okorora oboonchoreria bwebikoru biabo, buna okoriya emeremo, ogotaikerania emeremo buya gose kwerusanania korwa ase abokori emeremo bamwabo.",Health,False,True
Support teachers! Train educators for refugee students.,Sira abarimu! Egeria abasemia sase abana ba baria batamire chisegi korwa chinse chiabo.,Education,False,True
Discussion of Kenya's intelligence led counter terrorism operations informed by past attacks.,"Chinkwana chiobotuki bwa Kenya nekeombe keria kiobotuki gokinana nobokebago bwokoruta chipomu, nemeremo yakoretwe nigo yasiretwe nokomanya kwa ayakoregete nyuma.",Security,False,True
Transparent governance improves safety and service delivery. Stay alert and speak up in your community.,Obogambi bwa maiso marore nigo bogokongia oborendi nobokoreri. Kabe maiso na kwana igoro yobokengeka ase ekenyoro kiao.,Security,False,True
Prevent sexual harassment 2020.,Tanga gokorera bobe abande gose chingencho chimbe 2020.,Education,False,True
We caution all to beware of fraudsters posing as Commission staff to solicit money in exchange for our services What is the Public Service Commission (PSC) It is a constitutional Service Commission established under Article 233 of the Constitution.,Twakureire bonsi bamanye igoro yabantop abarimo bagwekora bagwwekora abokori emeremo boboteneneri koibera abanto nga nkobaa bare obokoreri. Ninki Obotenereri Bwokoreri Bwabanto (PSC)? Nomoroberio bwerichiko obegetwe inse yerichiko 233 rierichiko rinene riense.,Governance,False,True
"Report issues! Schools, set up grievance systems.","Manyia igoro yobokong'u bonde bwonsi! Chisukuru, karwe ribaga riokomanyigwa emechando.",Education,False,True
"..farm produce, together with agibusiness sector, the market has a favour of oligopolistic dimension to attain their market needs..though there's pressure from large scale farmers, posing a challenge from reaching markets with their produce..","…oboremi nerigesa, naboigo goikerania echiro yoboremi bwabo bwoboonchoreria nigo bamigire nabaremi bake bemegondo emenene na yabeire akong'u goikera echiro yerigesa riabo…..",Agriculture,True,True
Ministry of Education conducts VR-based teacher training workshops to familiarize educators with immersive teaching tools.,Eminisitiri yechisemi nkoba ere nemeroberio bwokoroberia na koira amasomosomo abeene ase abarimu goetera etekinorochia yebiorokererio goetera chitibi gati yomwana nowarimu.,Education,False,True
"Good yields have been noticed with mixing maize and desmodium for introducing shades, the push-pull approach.",201. Rigesa rigiya ndianyorekanete koburania ebituma nekemeria gia deimidiam as engencho yogosegeta koburukania ebimeri biendagera amo nebimeri binde amo nemete gokoreta ekiriri as ebimeri.,Agriculture,True,True
"The launch of the plan to defend digital services, to promote good encouragement through nowardays organizations to leverage foods from FOP, and policy change.","Ogochakigwa kwomoroberio bwokoegerera obokoreri bwegedichitali, gosegeta ogotiotereri okuya amo nebiombe bia bono erio koaranani chindagera, okobeka amang'ana a'FOP, na oboonchoreri bwamachiko",Health,False,True
"These violations have occurred amid deep political divisions and the fragmentation of state institutions, fostering a pervasive culture of impunity that undermines media freedom, journalists' safety, and the public's right to information.","Okobunwa kwa amachiko aya nigo kwabete ase eminano endito yegesiasa nokobagekana na gotakora emeremo amo ase chinsemo chionsi chiserikari, naigo korwa ribaga ase chingencho chiegesaku kogendereria obosareku ayio undermines media freedom, journalists' safety, and the public's right to information.",Governance,False,True
Support refugees! Provide learning materials for refugee students.,Sira baria batamire chisegi korwa sobo! Karwe ebinto biogosomera ase abana ba baria batamire chisegi korwa sobo.,Education,False,True
Teachers attend CBC training starting next week.,AAbarimu ikerana ase okwegerigwa igoro yechisemi chiria chirengete okwenyara gwa kera omwana nechisemi chiokwegenderia (CBC) gogochaka ewiki egocha.,Education,False,True
Build teacher resource centers 2022.,Agacha chinyomba ase abaarimu bakonyora chisemi omwaka o 2022.,Education,False,True
Women in agriculture face distinct risks. Cooperatives should adopt prevention policies and reporting options.,Abakungu bagokora emeremo ase oboremi nigo bare ase okonyorwa nemechando yabeene. Ebiombe bioboremi nere buya bitabe amachiko yogotanga nenchera yokorwa chiripoti.,Security,False,True
"'The government must facilitate people's right to protest, an important way for citizens to express themselves and participate in governance processes,' said Mugambi Kiai, ARTICLE 19 Eastern Africa Regional Director.","Eserikari goika erwe ribaga rioboronge bwabanto facilitate people's right to protest, an important way for citizens korwa ebirengererio biabo, koboria amaswari na goteba buna bategete ase obogambi bwabo,' buna atebete Mugambi Kiai, Omoteneneri Omonene bworogongo rwa Africa ya Mocha RICHIKO19.",Governance,False,True
Postpartum depression is real. Encourage new mothers to seek help and talk openly.,Ogoichorerana kwa obongo nyuma ya koibora nobomaene Abàibori abageni basemigwe korigia obokonyi na gokwana maiso marore,Health,False,True
"Protect schools! Communities, guard against banditry.","Renda chisuku! Ebinyoro, tanga oboibi bwechiombe.",Education,False,True
"""Do not download apps from random websites. Always use Google Play Store or Apple App Store. Unverified apps may contain malware.""","""Tiga korusia ebikoreri biria bigonya esimi gokora egasi korwa eintaneti aende yonsi. Kera engaki binyore korwa Google Play Store gose Apple App Store"".",Security,False,True
PSA encouraging use of organic fertilizers to improve soil health.,PSA nogo egosegeta enchera yogotumia obwoyo bwekweroseria goera eubi ao ao erio kogesa afia engiya ase riroba riao,Agriculture,True,True
"Climate-smart agriculture practices include holistic integration, crop adaptation, livestock management, land/water management, and efficient energy use.","Kwegera omoroberio bwoboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura nigo orengete okobwaterana chinsemo chinyinge buna, gosimeka ebimeri biria bikoremereria rire, oboremi bwetugo obuya, oborendi obuya bwemegondo/amache, na ogotumeka okuya gwechinguru chiomorero.",Agriculture,True,True
Ministry of Education launches a digital portal for school health and nutrition data collection and management.,Eminisitiri yechisemi yaansire emeroberio yegeintaneti arengete afia yechisukuru na gosangereria amang'ana na koyatumia buya igoro yoborageria obuya.,Education,False,True
"Authorities deployed surveillance, roadblocks, and emergency teams to ensure safety ahead of the Safari Rally.","Abarendi mbagegete obomongeri, ebitumo ase chipara, na baria bagokonya ekero kiemebasekano goikerania oborendi nyuma yamashindano yechigari.",Security,False,True
"All gatherings, sports,celebrtions and worship gatherings have been suspended. Religious meetings may continue with their worshing programs if they observe prevention measures. Schools will also remain open if they observe protocols but sports have been suspended.","Emesangererekano yonsi, chigosori, emeyega amo na emesangererekano yechikanisa yatenenigwe. Chikanisa nabo chikoba nesangererekano yamasabo onye rioka chikobeka esabuni yogosibia amaboko. Chisukuru nabo chigotigara koigorwa korende chigosori gati ye chisukuru chiatenenigwe.",Health,False,True
Economic abuse limits financial independence. Financial institutions should recognize warning signs and support affected customers.,Obosaria bwobogoko nigo bokomiga okwenyara nogwetenenera gwechibesa. Ebiombe baria bionsi bigokora nechibesa nere buya asebire komanya bwango emechando ere motwe na buna baranyare gokonya baria bakogachera chibesa chiabo.,Security,False,True
Cross-sector validation meeting held to align county and national nutrition strategies under KNAP.,Okoomerana gotingia orosagia rookobekà amo chikaunti na orogongo rwa Kenya ase chindagera inse ya KNAP,Health,False,True
Keep emergency numbers programmed in your phone for quick access.,Rika na kogacha esimi yaoime chinamba orarangerie chingaki chiemebasakano.,Security,False,True
"All COVID-19 vaccines are safe for use by adults, breastfeeding mothers and as per current WHO guidelines, can also be used by pregnant women upon recommendation by a qualified physician.","Chisindani chia Covid 19 chionsi nechingiya ase okobetwa abanto abanene, abang'ina/abakungu bakogonkia kobwatekana namorokererio arure na WHO. Nabo chikoegwa abakungu bare morito, koreng'ana nogoetia k w'omonyagitari.",Health,True,True
KICD provides guidelines and resources for continued home learning during the extended school closures.,Ekeombe keria getenerete buna amasomo akorosigwa (KICD) nkorwa kere oborai na ogokonya igoro yokogendera gosomera inka chingaki chisukuru chisiegete.,Education,False,True
"Promote integrity and transparency in all institutions. Together, we can prevent corruption before it starts.","Segeta ekeene nobomaiso marore ase chinsemo chionsi chiobokoreri. Ase oboamo, nabo togotanga obokorekanu tiboba.",Security,False,True
The National Counter Terrorism Centre continues public alerts urging vigilance and reporting of suspicious activity.,Ekeombe keria ekenene gekorwania obokebago bwokoruta chipomu (NCTC) nkegendererete korwa ogokurerwa na korwa amang'ana igoro yebikoru biechitang'utang'u gochia ase abarai.,Security,False,True
USDA promotes regenerative agriculture for livestock.,USDA negendererete gosegeta oboremi bokorenda obotobu bweriroba as afia yetugo.,Agriculture,True,True
Secondhand smoke harms both the mother and the unborn baby. Keep homes and public spaces smoke-free.,Amarioki namabe ase abangina na abana bataraiborwa Beka chinka are nàmarioki,Health,False,True
Features civil liberties history in Kenya,Gekworokia oboroso bwobosibore na oboronge bwa kera omonto aiga Kenya,Education,False,True
"All pregnant women are encouraged to create a birth preparedness plan including identifying a health facility, arranging transport, and saving funds.","Abakungu bonsi bebwateranetie nigo bairwe omoyo barosie omopango bwo'gochi kobiara, amo na gochora enyagitari, kobanga esafari na kogacha chibesa .",Health,False,True
Busia women rep urges the government to implement the county Revenue Bill.,omobunge omochore ase ekaunti ya Busia orure okoboria gochia ase eserekari yekaunti eyuo goikerania ebirenga biebango ase ekaunti eyuo.,Governance,False,True
Announcement that CHV-led malnutrition screenings will now include mental wellbeing checks.,"Okoraria inga oboringori bwokoragera bobe koraagwa na abanyagitari begenka, bamente obochenu bwobongo",Health,False,True
Announcement that the Kenya National Commission on Human rights to include mental health in its services as part of human rights,Okorari ng'a Ekeombe Ekenene Giokoegerera Mwanyabanto kemente obochenu bwobongo buna obomaene bwa mwanyabanto,Health,False,True
"Announcement of Kenya's first AI‑powered mental health & wellness platform offering tailored self-care, assessments, and access to professional counselling.","Okorari egetii kiobochenu bw'obongo na kogendereri na obongo botari bwobomaene orogongo rwa Kenya buna orebwate buya, okoeneki nga mbuya, na ogoikera obosemi bwa ekerengo kiaigoro",Health,False,True
... Push Pull Technology is revolutionizing cowpea farming in Western Kenya. 16 July 2025. More News. Latest Updates. UK-CGIAR News. Exploring the ...,Chisemi chiegesayansi chirengete goseria gose kobwata amakonde nebichuni bigosaria endagera mogondo ase okobukania ebimeri mogondo buna chimbisi aaria songo ya Kenya. 6 July 2025. More News. Latest Updates. UK-CGIAR News. Exploring the …,Agriculture,True,True
"Teachers must submit TPAD data by June 30, 2025 to avoid payroll delays.","Abarimi goika batome emeroberio buna bagosomia gochia (TPAD) nyuma yechitariki 30 chiomotienyi 6, omwaka 2025 gotanyoria emeroberio yokorosia emesaara babo.",Education,False,True
An association in Kenya (AMS) 2023-2032 focuses on the use of digital technology in improving productivity in markets for small scale farmers.,Ekeombe gia Kenya ekio kerengete emeroberio yoboonia (AMS) 2023-2032 nkworokereria kere buna okoreng'ania obokoreri bwegedichitari na etekinorochia erio kwangoyia ogosoa echiro ase abaremi bemogondo emeke.,Agriculture,True,True
"The Ministry of Health has launched a marathon on HIV AIDS in the month on 1 of December, aimed eliminating the disease by 2030","Ewizara ya obochenu yachakirie chimbero chia Marathoni chia oborwaire bwenyamoreo chirakoreke omotiènyi o'ikomi na kabere, etariki eyemo, erengete gosiria oborwaire egoka omwaka 2030",Health,False,True
"…technology transfer are taken into account, science is the main driver…. Push-pull technology that involves intercropping with specific forage….",Amasomo yobamanyi bwegetekinorochi ase abange nobwenerete korengererigwa buna ekebekerero kiaboronge goikerania oboremi bwokoburukania ebimeri nemete yokorenta ekiriri as ebimeri mogondo.,Agriculture,True,True
Ministry of Education partners with universities to sponsor national math olympiads for gifted students in secondary schools.,Eminisitiri yechisemi nkobwatana ere nechiyunifasiti nkorwa bare chibesa nebiganeirie ase abana bechisekenderi baria bare nebiegwa ase chisabu gokoamererania nabande korwa isiko.,Education,False,True
Secure schools! Implement terror prevention measures.,"Renda chisukuru! Beka emeroberio korenda ng'a ebinto biesukuru mbuya bire, abana nabarimu boigo mbuya bare korwa.",Education,False,True
Grade 7 free feeding program starts Jan – 3 meals daily guaranteed!,Abana begeredi gia 7 mbanyore endagera ya bosa gochakera omotienyi omtang'ani chindgera mara gatato kera rituko!,Education,False,True
"Announcement of staff health screening (BMI, blood pressure, blood sugar) and wellness baseline to shape ongoing workplace wellness programming.","Okoraria okorenga obochenu ase abakori obochenu( BMI, ogoaka kwa amanyinga,esukari ase amanyinga) na korosia oboroso eeio korosia omoroberio yokoigwana ase emeremo",Health,False,True
Farmers and business people in Asia-Pacific have progressed their agriculture Through digital technology. IFSD and Grow Asia they recently released...,Abaremi na abanyabiasara boboremi as ense ya Asia-Pacific bagendereirie oboremi bwabo goetera enchera yegetekinorogi yegechidichitari. IFAD na Grow Asia bwango iga mbasogetie a ...,Agriculture,True,True
National Counter Terrorism Centre organized a five day workshop to contextualize a national manual on gender mainstreaming in counter terrorism.,Ekeombe keria ekenene gekorwania obokebago bwokoruta chipomu (NCTC) nkiaroberetie ogasanga amo kwegera komanya egetabu gekworokia buna okobwaterana na banto bechingencho ao ao nobomanyi bwabo erakonye korwania obokebago bwokoruta chipomu.,Security,False,True
Children struggling to speak or recognize sounds may have learning difficulties. Seek assessment from child specialists early.,Abana bari babwate obokongu ase ogokwana gose goatora amang'ana nigo baratware obokongu bw'ogosoma . Rigia oboringori korwa a se omonyagitari bwa bana bwango.,Health,False,True
KNEC begins pilot rollout of e-assessment systems in selected primary schools to improve evaluation methods.,Amatemwa esekenderi KNEC giansire korenga chisukuru nke chiachoretwe goikerania okorengwa gwechisukuru.,Education,False,True
Engage students! Create forums to address unrest.,Bwaterana nabana! Rosia ribaga riogokwanerana igoro yamangana abachandete.,Education,False,True
"World Accounty, through its company incharge of distribution of drugs and other medical gadgets, is distributing nets in various counties in Kenya with high malaria burden","Ekegancha gi'ense, goetera ase ekampuni y'okobaga amariogo amo na ebinto ao ao bi'oborwaria, nkobaga kere chineti ase chinsemo ao ao chi'Ense ya Kenya chiria chibwate Esosera kera engaki .",Health,False,True
"Reports detailed police-ordered lockdowns on Saba Saba Day, including blocked routes, live fire, and escalated confrontations.","Chiripoti igoro ya buna abasikari batangete ogotara, gosanga na koererania amangana rituko ria Saba Saba, goetra ogosieka chipara, okorasa chimbunde, na kogesa emeburukano.",Security,False,True
TSC launches comprehensive digital literacy training program for all teachers to improve ICT integration.,Ekeombe ekene kia abarimu (TSC) giansire omoroberion omoikeranu igoro yechisemi chiegedichitari goetera kwegeria abarimu bionsi bobwatania amasomo etekinorochia yamangana na koererania ICT.,Education,False,True
Summary of UN counter terrorism strategies focusing on terrorism financing and international threat prevention.,Okorora okweng'e nemeroberio yobomo bwa Boraya (UN) bwogokinana nobokebago bwokoruta chipomu na gotanga baria bakoa ebibago chibesa gokora obokebago bwabo erio gotanga okogoswa korwa isiko.,Security,False,True
"Kiosks of Mombasa Covid 19: Testing kiosks without toutching is implemented in 6 elective counties in which there is no physical contact with the doctor and the patient. These kiosks test safely and with security, very fast and in plenty. These kiosks are build in this areas have become game changer",Ebisa bia Mombasa Covid-19: Ebisa biogopimwa otari gokunwa nkoenanu bire ase amajimbo 6 y'obochori. Ebisa tibibwati gokunana konde gwonsi gati y'omonyagitari amo n'omorwaire. Ebisa ebi nigo bigoanchera ogopimwa kobwate oborendi naende kwa bwango na obonge. Ebisa ebi biroseiri ime y'ensemo eyio biarokirie obokoreri oboyia.,Health,False,True
"Kenya confirms 10 more Covid-19 cases bringing the total number of confirmed infections to 384, nine of the new cases are from Mombasa and one from Nairobi","Kenya koenekia abanto 10 komentekana ase okoambokerigwa oborwaire bwa COVID19 bonsi amo goika abanto 384. Ase abwo, 109 nigo bakorwa Mombasa na oyomo korwa Nairobi.",Health,True,True
"Acceptance of climate smart agriculture (CSA). For example, when trying smart farming alongside weather understanding for a long period,inheritance land security is important.","Ogoitabeka kwoboremi bokogenda nerire (CSA). Buna ekiorokererio, buna ogotema oboremi obuya werire bogendererete cgokorwa neganeirie ogotugekwa ogotambe, na amachiko amaya igoro yobteneneri bwemegondo ase gokomboa emegondo...",Agriculture,True,True
"The rights of citizens to vote and to be elected at periodic, genuine democratic elections are internationally recognized human rights.","Oboronge bwabanainch goaka chikura na korigia chikura gochorwa ase chingaki gete, gobochori bwaboronge nigo bokobeka motwe gose bogosika oboronge bwekemwanyabanto.",Governance,False,True
Enroll now! Free primary education for all Kenyan children.,Erike bono! Amasomo abosa ase abana bechisukuru chioboroso.,Education,False,True
"Practice environmental stewardship by adopting methods that protect soil, water, and biodiversity in your dairy farm.","Egera obokoreri bwamasingira ase okobwatia chingencho omoroberio chiria okorenda riroba, amache, nebitonwa binde ase omogondo oo.",Agriculture,True,True
"The launch of digital coordination for farmers, schools and traders in leveraging feeding in school openly","Ogochakigwa kwa oboereri ase dichitol kobwatani abaremi, chisukuru na abaonchoreria kobeka teneni okoragera okuya ase chisukuru",Health,False,True
"The prefernce of people dying from malaria has reduced more tha its preference before the outbreak of Covid 19, WHO has confirmed Wednesday, but has appealed to expedite the fight against disease, tha caused 97,000 people to lose their life last year.","Ogosiri obogima goetera ase oborwaire bw'Esosera gwakeire goikera ekerengo kiarenge nyuma ya Ogoateka gwa COVID-19, WHO yatebete rituko ria tichi gatato, korende gekagania amagenderero abwango korwania endwari eye, yagerete abanto 597,000 gosiria amagima abo,omwaka oera.",Health,False,True
Security agencies receive updated protocols for data and intelligence sharing.,Ebitengo bioborendi nkomanyigwa bire emeroberio emeyia yogokora emeremo yabo ase amangana na koererania obotuki.,Security,False,True
