PSA_ID,Domain,Target_Languages,Source,Metadata,English,Kiswahili
PSA_00013,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-celebrates-immunization-more-children-are-reached-rtss"", ""detected_lang"": ""en""}",24 July 2026 | News Release WHO joins Uganda to celebrate 90 years of the Uganda Virus Research Institute 24 July 2026 | News Release South Sudan receives emergency medical supplies to strengthen cholera response 23 July 2026 | News Release United against polio: Zimbabwe strengthens regional immunity through synchronized vaccination,24 Julai 2026 | Taarifa ya Habari WHO yaungana na Uganda kusherehekea miaka 90 ya Taasisi ya Utafiti wa Virusi vya Uganda 24 Julai 2026 | Taarifa ya Habari Sudan Kusini yapokea vifaa vya matibabu vya dharura ili kuimarisha mwitikio wa kipindupindu 23 Julai 2026 | Taarifa ya Habari Umoja dhidi ya polio: Zimbabwe inaimarisha kinga ya kikanda kupitia chanjo iliyosawazishwa
PSA_00014,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/who-intensifies-response-looming-health-crisis-greater-horn-africa-food-insecurity-worsens"", ""detected_lang"": ""en""}","""While the clear priority is to prevent people from starving, we must simultaneously strengthen our health response to prevent disease and save lives.","""Wakati kipaumbele cha wazi ni kuzuia watu kutoka kwa njaa, lazima wakati huo huo tuimarishe mwitikio wetu wa kiafya ili kuzuia magonjwa na kuokoa maisha."
PSA_00015,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""detected_lang"": ""en""}",The Kenyan government has warned that 2.5 million citizens are at risk of severe hunger and water scarcity if the drought persists.,"Serikali na mashirika ya afya yaonya kuhusu hatari ya njaa na ukosefu wa maji, na kuhimiza usambazaji wa chakula na maji salama."
PSA_00016,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/drought-leaves-over-two-million-vulnerable-health-and-nutrition-crises-kenya"", ""detected_lang"": ""en""}",24 July 2026 | News Release WHO joins Uganda to celebrate 90 years of the Uganda Virus Research Institute 23 July 2026 | News Release United against polio: Zimbabwe strengthens regional immunity through synchronized vaccination,24 Julai 2026 | Taarifa ya Habari WHO yaungana na Uganda kusherehekea miaka 90 ya Taasisi ya Utafiti wa Virusi vya Uganda 23 Julai 2026 | Taarifa ya Habari Umoja dhidi ya polio: Zimbabwe inaimarisha kinga ya kikanda kupitia chanjo iliyosawazishwa
PSA_00017,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-bolsters-polio-and-measles-surveillance-cutting-edge-kemri-laboratory"", ""detected_lang"": ""en""}","These labs ensure that stool and environmental samples are quickly tested for polioviruses, guiding immunization campaigns and outbreak response.","Maabara hizi huhakikisha kwamba sampuli za kinyesi na mazingira zinajaribiwa kwa haraka kwa virusi vya polio, kuongoza kampeni za chanjo na mwitikio wa mlipuko."
PSA_00018,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-bolsters-polio-and-measles-surveillance-cutting-edge-kemri-laboratory"", ""detected_lang"": ""en""}","In Kenya, surveillance and vaccination activities continue to reach children in nomadic, peri-urban and cross-border communities, with the latest vaccination round against polio having protected nearly 1 million children.","Nchini Kenya, shughuli za ufuatiliaji na chanjo zinaendelea kuwafikia watoto katika jamii zinazohamahama, pembezoni mwa miji na mipakani, huku awamu ya hivi punde ya chanjo dhidi ya polio ikiwa imewalinda karibu watoto milioni 1."
PSA_00019,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-bolsters-polio-and-measles-surveillance-cutting-edge-kemri-laboratory"", ""detected_lang"": ""en""}","Kenya has not reported circulating variant poliovirus type 2 (cVDPV2) cases in the past 15 months, and continued surveillance and Kenya's strengthened laboratory capacity will help sustain this momentum and ensure no resurgence.","Kenya haijaripoti visa vya virusi vya polio aina ya 2 (cVDPV2) vinavyozunguka katika muda wa miezi 15 iliyopita, na ufuatiliaji unaoendelea na kuimarishwa kwa uwezo wa maabara nchini Kenya kutasaidia kuendeleza kasi hii na kuhakikisha hakuna kuzuka tena."
PSA_00020,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","We have no time to visit the hospital to get the COVID-19 vaccination."" In a 10-day campaign targeting 11 of Kenya's 47 counties that had some of the lowest vaccination coverage, World Health Organization (WHO) along with the county governments, non-governmental organizations and other partners were determined that no one would be missed.","Hatuna muda wa kutembelea hospitali ili kupata chanjo ya COVID-19."" Katika kampeni ya siku 10 iliyolenga kaunti 11 kati ya 47 za Kenya ambazo zilikuwa na chanjo ya chini zaidi, Shirika la Afya Ulimwenguni (WHO) pamoja na serikali za kaunti, mashirika yasiyo ya kiserikali na washirika wengine waliazimia kuwa hakuna mtu ambaye angekosa."
PSA_00021,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","During the December campaign, WHO provided technical and financial support in the 11 counties to help accelerate the coverage of COVID-19 vaccine through strategic risk communication, community engagement and vaccination outreach teams.","Wakati wa kampeni ya Desemba, WHO ilitoa usaidizi wa kiufundi na kifedha katika kaunti 11 ili kusaidia kuharakisha utoaji wa chanjo ya COVID-19 kupitia mawasiliano ya kimkakati ya hatari, ushiriki wa jamii na timu za kufikia chanjo."
PSA_00022,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}",WHO experts worked with county health teams to coordinate operations at the grassroots so that local authorities took ownership of the efforts to boost COVID-19 vaccination.,Wataalamu wa WHO walifanya kazi na timu za afya za kaunti kuratibu shughuli mashinani ili mamlaka za mitaa zichukue umiliki wa juhudi za kuimarisha chanjo ya COVID-19.
PSA_00023,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","In addition to public education, the teams would announce the location and dates where the community could access the vaccination.","Mbali na elimu kwa umma, timu hizo zingetangaza mahali na tarehe ambapo jumuiya inaweza kupata chanjo."
PSA_00024,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}",Vaccination sites were set up where people could easily access them.,Maeneo ya chanjo yaliwekwa ambapo watu wangeweza kuyafikia kwa urahisi.
PSA_00025,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","To help make sure that marginalized people were not neglected, a church in Kisumu offered its backyard for setting a one-day vaccination site.","Ili kusaidia kuhakikisha kuwa watu waliotengwa hawakupuuzwa, kanisa moja huko Kisumu lilitoa uwanja wake wa nyuma kwa ajili ya kuweka mahali pa chanjo ya siku moja."
PSA_00026,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","By the end of that particular day, 321 people were vaccinated at the church site.","Kufikia mwisho wa siku hiyo, watu 321 walichanjwa kwenye tovuti ya kanisa."
PSA_00027,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","""As the county health team, we shall continue to work with partners in increasing access to COVID-19 vaccination and support this noble idea in ensuring that all segments of the population are vaccinated, including the vulnerable and marginalized persons,"" said Florence Aketch, Kisumu County Coordinator for the Expanded Programme on Immunization.","""Kama timu ya afya ya kaunti, tutaendelea kufanya kazi na washirika katika kuongeza ufikiaji wa chanjo ya COVID-19 na kuunga mkono wazo hili zuri katika kuhakikisha kuwa makundi yote ya watu yamechanjwa, ikiwa ni pamoja na watu walio katika mazingira magumu na waliotengwa,"" alisema Florence Aketch, Mratibu wa Kaunti ya Kisumu kwa Mpango wa Kupanua wa Chanjo."
PSA_00028,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","In Wajir County in northern Kenya, the vaccination uptake campaign was also driven by working with political, religious and community leaders as well as through messages relayed via community radio, which is effective among the nomadic herder communities predominantly living in northern Kenya.","Katika Kaunti ya Wajir kaskazini mwa Kenya, kampeni ya kupokea chanjo pia ilichochewa na kufanya kazi na viongozi wa kisiasa, kidini na kijamii na pia kupitia jumbe zinazotumwa kupitia redio ya jamii, ambayo ni nzuri miongoni mwa jamii za wafugaji wahamaji wanaoishi kaskazini mwa Kenya."
PSA_00029,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}",Taking vaccines to these communities also meant that vaccination teams would set up vaccination stations at watering points.,Kupeleka chanjo kwa jumuiya hizi pia kulimaanisha kuwa timu za chanjo zingeweka vituo vya chanjo katika maeneo ya kunyweshea maji.
PSA_00030,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","""It takes a lot of commitment and resources to vaccinate people living in sparsely populated regions,"" said Dr Adam Haji, a WHO medical officer.","""Inahitaji kujitolea na rasilimali nyingi kuwachanja watu wanaoishi katika maeneo yenye wakazi wachache,"" alisema Dk Adam Haji, afisa wa afya wa WHO."
PSA_00031,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/ramping-covid-19-vaccination-among-kenyas-hard-reach-communities"", ""detected_lang"": ""en""}","""It is not enough to send them messages, it must be accompanied with a lot of hard work like driving many kilometres on a bad roads to get people vaccinated."" Engaging local communities to support the COVID-19 response and accept the vaccine has been a core part of how the government, with WHO inputs, has worked to protect the country.","""Haitoshi kuwatumia ujumbe, lazima iambatane na kazi ngumu kama vile kuendesha kilomita nyingi kwenye barabara mbovu ili kupata watu chanjo."" Kushirikisha jumuiya za wenyeji kuunga mkono mwitikio wa COVID-19 na kukubali chanjo imekuwa sehemu ya msingi ya jinsi serikali, ikiwa na pembejeo za WHO, imefanya kazi kulinda nchi."
PSA_00032,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-breaks-new-ground-and-pilots-its-first-digital-health-campaign-system"", ""detected_lang"": ""en""}","She is one of 4,250 community health promoters who worked to ensure up to 13 million children across Kenya received medicines to combat neglected tropical diseases.","Yeye ni mmoja wa waendelezaji wa afya ya jamii 4,250 ambao walifanya kazi ili kuhakikisha hadi watoto milioni 13 kote nchini Kenya wanapokea dawa za kukabiliana na magonjwa ya tropiki yaliyosahaulika."
PSA_00033,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-breaks-new-ground-and-pilots-its-first-digital-health-campaign-system"", ""detected_lang"": ""en""}","Additionally, the 110 community health promoters using the digital tool expressed optimism about incorporating it into other large-scale health campaigns, such as polio vaccination campaigns.","Zaidi ya hayo, waendelezaji wa afya ya jamii 110 wanaotumia zana ya kidijitali walionyesha matumaini kuhusu kuijumuisha katika kampeni nyingine kubwa za afya, kama vile kampeni za chanjo ya polio."
PSA_00034,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/garissa-health-workers-trained-who-global-competency-standards-strengthen-care-refugees-and-migrants"", ""detected_lang"": ""en""}","Majid Mohamed, Assistant Director of Public Health at the Ministry of Health, emphasised the need to expand the initiative: ""We often focus on established camps, yet many refugees enter through informal crossings.","Majid Mohamed, Mkurugenzi Msaidizi wa Afya ya Umma katika Wizara ya Afya, alisisitiza haja ya kupanua mpango huo: ""Mara nyingi tunazingatia kambi zilizoanzishwa, lakini wakimbizi wengi huingia kupitia njia zisizo rasmi."
PSA_00035,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/garissa-health-workers-trained-who-global-competency-standards-strengthen-care-refugees-and-migrants"", ""detected_lang"": ""en""}","These competencies must reach border points where the first contact happens."" The next steps agreed with the Ministry of Health and partners include scaling the training to Kakuma, developing a simplified module for community health promoters and promoting broader enrolment in the WHO Academy course.","Ustadi huu lazima ufikie maeneo ya mpaka ambapo mawasiliano ya kwanza hutokea."" Hatua zinazofuata zilizokubaliwa na Wizara ya Afya na washirika ni pamoja na kuongeza mafunzo hadi Kakuma, kuunda moduli iliyorahisishwa kwa wakuzaji afya ya jamii na kukuza uandikishaji mpana zaidi katika kozi ya Chuo cha WHO."
PSA_00036,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/welcome-nairobi-lets-build-together-world-health-summit-regional-meeting-2026"", ""detected_lang"": ""en""}","The WHO exhibition booth promises to be a dynamic and meaningful space, featuring latest WHO publications, an interactive virtual reality installation which simulates polio vaccination in a community, and a demonstration of a WHO-developed AI application for emergency response.","Banda la maonyesho la WHO linaahidi kuwa nafasi inayobadilika na yenye maana, inayojumuisha machapisho ya hivi punde ya WHO, usakinishaji shirikishi wa uhalisia pepe ambao huiga chanjo ya polio katika jumuiya, na onyesho la ombi la AI iliyotengenezwa na WHO kwa ajili ya kukabiliana na dharura."
PSA_00037,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-launches-national-cervical-cancer-elimination-action-plan-2026-2030"", ""detected_lang"": ""en""}","Although the disease is largely preventable through human papillomavirus (HPV) vaccination and early screening, many women continue to be diagnosed at advanced stages due to gaps in access to services.","Ingawa ugonjwa huu unaweza kuzuilika kwa kiasi kikubwa kupitia chanjo ya human papillomavirus (HPV) na uchunguzi wa mapema, wanawake wengi wanaendelea kugunduliwa katika hatua za juu kutokana na mapungufu katika upatikanaji wa huduma."
PSA_00038,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-launches-national-cervical-cancer-elimination-action-plan-2026-2030"", ""detected_lang"": ""en""}","The Action Plan aligns with WHO's global cervical cancer elimination targets (90-70-90), which call for 90% of girls to be fully vaccinated against HPV by the age of 15, 70% of women to be screened using a high-performance test by ages 35 and 45, and 90% of women identified with cervical disease to receive appropriate treatment and care.","Mpango wa Utekelezaji unaendana na malengo ya WHO ya kutokomeza saratani ya mlango wa kizazi duniani (90-70-90), ambayo yanatoa wito kwa 90% ya wasichana kupata chanjo kamili dhidi ya HPV kufikia umri wa miaka 15, 70% ya wanawake kuchunguzwa kwa kutumia kipimo cha juu cha utendaji wa umri wa miaka 35 na 45, na 90% ya wanawake wanaotambuliwa na matibabu ya kizazi."
PSA_00039,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-launches-national-cervical-cancer-elimination-action-plan-2026-2030"", ""detected_lang"": ""en""}","The strategy builds on Kenya's national HPV vaccination programme, introduced in 2019.","Mkakati huo unatokana na mpango wa kitaifa wa chanjo ya HPV nchini Kenya, ulioanzishwa mwaka wa 2019."
PSA_00040,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-launches-national-cervical-cancer-elimination-action-plan-2026-2030"", ""detected_lang"": ""en""}","In November 2025, Kenya transitioned to a single-dose HPV vaccination schedule , in line with WHO recommendations, to simplify delivery and improve coverage.","Mnamo Novemba 2025, Kenya ilibadilika hadi ratiba ya chanjo ya HPV ya dozi moja, kulingana na mapendekezo ya WHO, ili kurahisisha utoaji na kuboresha huduma."
PSA_00041,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/who-launches-new-global-guidelines-create-healthier-school-food-environments"", ""detected_lang"": ""en""}","""Global guidance helps ensure that school food policies are informed by evidence and responsive to the nutritional needs of children at different stages of development."" Kenya is currently providing free school meals to approximately 2.6 million children, with a national target to reach 10 million children by 2030, according to the Ministry of Education.",Wizara ya Elimu na KUCCPS wanaalika maombi ya nafasi za masomo na kutoa ushauri wa taaluma kwa wanafunzi.
PSA_00042,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/launch-tobacco-free-farms-kenya"", ""detected_lang"": ""en""}","""Tobacco growing farmers must be given the necessary support to switch to alternative crops that have the potential to improve their health and livelihoods as well as reduce the supply of tobacco,"" says Dr.","“Wakulima wanaolima tumbaku ni lazima wapewe msaada unaohitajika ili kubadili mazao mbadala yenye uwezo wa kuboresha afya na maisha yao pamoja na kupunguza upatikanaji wa tumbaku,” anasema Dk."
PSA_00043,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-strengthening-health-workforce"", ""detected_lang"": ""en""}","We need to strike a balance between what is acceptable in the context that we have and what inefficient use of the health workforce,"" he says.","Tunahitaji kuweka uwiano kati ya kile kinachokubalika katika muktadha tulionao na matumizi yasiyofaa ya nguvu kazi ya afya,"" anasema."
PSA_00044,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/beyond-numbers-real-world-impact-malaria-vaccine-kenya"", ""detected_lang"": ""en""}",Leveraging new opportunities Malaria vaccination visits are also creating new opportunities for healthcare workers to see children who might not otherwise come to health centers or hospitals—and screen them for any other missed vaccinations.,Kutumia fursa mpya Ziara za chanjo ya Malaria pia zinaunda fursa mpya kwa wahudumu wa afya kuwaona watoto ambao pengine wasije kwenye vituo vya afya au hospitali—na kuwapima ili kubaini chanjo nyingine zozote walizokosa.
PSA_00045,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-builds-capacity-produce-its-own-vaccines"", ""detected_lang"": ""en""}","Should a health emergency arise, the same platform can be rapidly redirected to produce a response, shortening the time it takes for effective countermeasures to reach affected populations.","Iwapo dharura ya kiafya itatokea, jukwaa sawa linaweza kuelekezwa kwingine kwa haraka ili kutoa jibu, na kufupisha muda unaochukua kwa hatua madhubuti za kukabiliana na hali hiyo kufikia watu walioathirika."
PSA_00046,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenya-builds-capacity-produce-its-own-vaccines"", ""detected_lang"": ""en""}",The Pharmacy and Poisons Board is working alongside programme partners to ensure that vaccines produced locally meet the regulatory standards required to reach patients safely.,Bodi ya Famasia na Sumu inafanya kazi pamoja na washirika wa mpango ili kuhakikisha kuwa chanjo zinazozalishwa nchini zinakidhi viwango vya udhibiti vinavyohitajika ili kuwafikia wagonjwa kwa usalama.
PSA_00047,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenyan-lab-boosting-africas-genome-surveillance"", ""detected_lang"": ""en""}","Genome sequencing is central to combatting COVID-19, allowing governments and health authorities to take swift and informed public health decisions such as measures to bolster preparedness for potential surges owing to more infectious variants or stepping up vaccination, diagnostics and treatment.","Mfuatano wa jenomu ni muhimu katika kupambana na COVID-19, kuruhusu serikali na mamlaka za afya kuchukua maamuzi ya haraka na ya kuarifu ya afya ya umma kama vile hatua za kuimarisha utayari wa ongezeko linaloweza kutokea kutokana na lahaja zinazoambukiza zaidi au kuongeza chanjo, uchunguzi na matibabu."
PSA_00048,Health,[Placeholders],WHO Regional Office for Africa,"{""url"": ""https://www.afro.who.int/countries/kenya/news/kenyan-lab-boosting-africas-genome-surveillance"", ""detected_lang"": ""en""}",World Health Organization (WHO) recommends that countries ship at least 5% of their COVID-19 samples to reference sequencing laboratory or continuously produce sequencing data if they have the capacity.,Shirika la Afya Ulimwenguni (WHO) linapendekeza kwamba nchi zisafirishe angalau 5% ya sampuli zao za COVID-19 kwenye maabara ya upangaji wa marejeleo au ziendelee kutoa data ya mfuatano ikiwa zina uwezo.
