English,Kiswahili,Ekegusii,Domain
"but a mist went up from the earth, and watered the whole surface of the ground.",lakini umande ulitokeza kutoka ardhini na kunyesha uso wote wa nchi:,Korende obotooru nigo bware gotiira korwa inse na konyiyia riroba ri’ense yonsi.,Religion
"Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.","Bwana Mungu alimuumba mtu kutoka mavumbi ya ardhi, akampulizia pumzi ya uhai puani mwake, naye mtu akawa kiumbe hai.","Eri’Omonene Nyasae akaimokia amaroba korwa inse akabomba na koroisia omonto korwa ase orotu rwe riroba, akamoutera omoika bw’obogima ase chimioro chiaye, erio omonto akaba n’obomooyo.",Religion
"Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.","Basi Bwana Mungu alikuwa ameotesha bustani upande wa mashariki, katika Edeni, huko akamweka huyo mtu aliyemuumba.","Eri’Omonene Nyasae agasimeka ebimeri ase omogondo aaria Edeni, ensemo ya moocha, erio akabeeka omonto aroro, oria abombete na koroisia.",Religion
"Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.","Bwana Mungu akafanya aina zote za miti ziote kutoka ardhini, miti yenye kupendeza macho na mizuri kwa chakula. Katikati ya bustani ulikuwepo mti wa uzima na mti wa kujua mema na mabaya.","Akameria emete korwa ase riroba, emete yonsi ekororwa yasanerwa kegima, eyio yarenge endagera engiya. Nyasae akabeeka omote bw’obogima gati‐gati y’omogondo oria, naende omote onde oyo bw’okomanyera amaya na amabe.",Religion
"A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.","Mto wa kunyeshea bustani ulitiririka toka Edeni, kuanzia hapa ukagawanyika kuwa mito minne.","Orooche rogatuboka korwa ase omogondo o Edeni na rokayobekera amaache. Korwa agwo rokagabekana, rokaba chindooche inye.",Religion
"The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;","Mto wa kwanza uliitwa Pishoni, nao huzunguka nchi yote ya Havila ambako kuna dhahabu.","Orooche rwe ritang’ani rokarokwa Pisoni, orwo narwo roetanaine ense yonsi ya Havila.",Religion
and the gold of that land is good. Bdellium and onyx stone are also there.,"(Dhahabu ya nchi hiyo ni nzuri, bedola na vito shohamu pia hupatikana huko.)",Aa noo Etaabu engiya kegima egotoka boigo namagena ande ye rigori rinene.,Religion
The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.,"Jina la mto wa pili ni Gihoni, ambao huzunguka nchi yote ya Kushi.","Na orooche rwa kabere rokarokwa Gihoni, orwo narwo roetanaine ense yonsi ya Kusi.",Religion
The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.,"Jina la mto wa tatu ni Tigrisi, unaopita mashariki ya Ashuru. Mto wa nne ni Frati.","Na orooche rwa gatato rokarokwa Tigirisi, orwo rogoeta moocha y’Asuri. Na orooche rwa kane narororwo rokarokwa Eufarati.",Religion
"Yahweh God took the man, and put him into the garden of Eden to cultivate and keep it.","Bwana Mungu akamchukua huyo mtu, akamweka kwenye Bustani ya Edeni ailime na kuitunza.","Erio Omonene Nyasae akaira omonto oria, akamobeka ase omogondo o Edeni, ayoroiserie na koyorenda.",Religion
"Yahweh God commanded the man, saying, “You may freely eat of every tree of the garden;","Bwana Mungu akamwagiza huyo mtu, akamwambia, “Uko huru kula matunda ya mti wowote katika bustani,","Akamoteebia omonto oria, “Amatunda a kera omote ore ase omogondo oyo nonyare koyaria,",Religion
"but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.”","lakini kamwe usile matunda ya mti wa kujua mema na mabaya, kwa maana siku utakapokula matunda yake, hakika utakufa.”","gotatiga amatunda y’omote bw’okomanyera amaya na amabe toyaria, ekiagera rituko riria orayarie goika okwe.”",Religion
"Yahweh God said, “It is not good for the man to be alone. I will make him a helper comparable to him.”","Bwana Mungu akasema, “Si vyema huyu mtu awe peke yake. Nitamfanyia msaidizi wa kumfaa.”","Eri’Omonene Nyasae agateeba: “Tai buya omonto oyo abe bweka, nimokorere omokonyi oramokoonye.”",Religion
"Out of the ground Yahweh God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name.","Basi Bwana Mungu alikuwa amefanyiza kutoka ardhi wanyama wote wa porini na ndege wote wa angani. Akawaleta kwa huyu mtu aone atawaitaje, nalo jina lolote alilokiita kila kiumbe hai, likawa ndilo jina lake.","Erio akaimokia amaroba korwa inse akaroisia kera eng’iti, ne chinyoni chionsi. Erio agachirenta ase omonto oria, arore buna agochiroka; naboigo kera egetongwa kianyorete erieta riaye.",Religion
"The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him.","Hivyo Adamu akawapa majina wanyama wote wa kufugwa, ndege wa angani, na wanyama wote wa porini. Lakini kwa Adamu hakupatikana msaidizi wa kumfaa.","Ase igo omonto oyio akaroka chinyoni chionsi n’echingiti chionsi; korende ase ebio bionsi ebiatongetwe, tarorekana mokonyi onde oye.",Religion
"Yahweh God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place.","Hivyo Bwana Mungu akamfanya Adamu kulala usingizi mzito, naye alipokuwa amelala akachukua moja ya mbavu zake, akapafunika mahali pale kwa nyama.","Eri’Omonene Nyasae akabeekera omonto oria chitoro chindito mono kegima, ekero araire akamorusia orobaru rwaye oromo, na akairaneria chinyama aase aria.",Religion
"Yahweh God made a woman from the rib which he had taken from the man, and brought her to the man.","Kisha Bwana Mungu akamfanya mwanamke kutoka kwenye ule ubavu aliouchukua kutoka kwa huyo mwanaume, akamleta huyo mwanamke kwa huyo mwanaume.",Akaroisia omokungu korwa ase orobaru akamoirera omonto oria.,Religion
"The man said, “This is now bone of my bones, and flesh of my flesh. She will be called ‘woman,’ because she was taken out of Man.”","Huyo mwanaume akasema, “Huyu sasa ni mfupa wa mifupa yangu na nyama ya nyama yangu, ataitwa ‘mwanamke,’ kwa kuwa alitolewa katika mwanaume.”","Erio omonto oria agateeba, “Omoerio oyombwekaine oyo aa Oyo neriuga korwa ase amauga aane, ne chinyama korwa ase chinyama chiane. Oyo nigo ararokwe omokungu, ekiagera oyo nigo arusigwe ase omosacha.”",Religion
"Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.","Kwa sababu hii mwanaume atamwacha baba yake na mama yake na kuambatana na mkewe, nao watakuwa mwili mmoja.","Ekio nakio gekogera omonto agotiga ise na ng’ina obwatana na mokaye, na abwo babere baba omobere oyomo.",Religion
"The man and his wife were both naked, and they were not ashamed.","Adamu na mkewe wote wawili walikuwa uchi, wala hawakuona aibu.","Omosacha na omokungu nigo baarenge getirianda, na tibaare kororerana obosooku.",Religion
"Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, “Has God really said, ‘You shall not eat of any tree of the garden’?”","Basi nyoka alikuwa mwerevu kuliko wanyama wote wa porini ambao Bwana Mungu aliwafanya. Nyoka akamwambia mwanamke, “Ati kweli Mungu alisema, ‘Kamwe msile matunda ya mti wowote wa bustanini’?”","Bono eng’iti engenda inse nigo yarenge eng’aini kobua ching’iti chinde chionsi, echi Omonene Nyasae akorete. Engiti ekaboria omokungu: “Inee! Namaene ng’a Nyasae nigo abakanetie ng’a timoria amatunda ’omote onde bwonsi ore mogondo?”",Religion
"The woman said to the serpent, “We may eat fruit from the trees of the garden,","Mwanamke akamjibu nyoka, “Tunaweza kula matunda ya miti iliyoko bustanini,",Omokungu oria akairaneria eng’iti eria: “Amatunda a kera omote ore ase omogondo ’natonyare koyaria,Religion
"but not the fruit of the tree which is in the middle of the garden. God has said, ‘You shall not eat of it. You shall not touch it, lest you die.’”","lakini Mungu alisema, ‘Kamwe msile tunda la mti ulio katikati ya bustani, wala kuugusa, la sivyo mtakufa.’ ”","otatiga amatunda y’omote ore mogondo gati-gati. Nyasae nigo atokanetie titoria amatunda korwa ase omote oria gose koyakuna, toise gokora bo nigo torakwe.”",Religion
"The serpent said to the woman, “You won’t really die,","Lakini nyoka akamwambia mwanamke, “Hakika hamtakufa.","Eng’iti eria ekairaneria omokungu oria “Ayio tari bo ogokwa, timogokwa.",Religion
"for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.”","Kwa maana Mungu anajua ya kuwa wakati mtakapoyala, macho yenu yatafumbuliwa, nanyi mtakuwa kama Mungu, mkijua mema na mabaya.”",Nyasae nigo akwanete bo akiagera amanyete ng’a ekero moraarie amatunda y’omote oyio nigo morabwekane Nyasae mobe mokomanya amaya na amabe.”,Religion
"When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate. Then she gave some to her husband with her, and he ate it, too.","Mwanamke alipoona ya kuwa tunda la mti huo lilikuwa zuri kwa chakula na la kupendeza macho, tena linatamanika kwa kujipatia hekima, basi akachuma katika matunda yake, akala, pia akampa mumewe, aliyekuwa pamoja naye, naye akala.","Omokungu oria agachia korora omote oria buna ore omuya okoriegwa na okogwenera amaiso, na omote oria noyo bw’okoganigwa, ekiagera okobaa okomanya, agatwa amatunda aye, akaria. Erio agwo akairera omosacha oye amatunda ande nere akaria.",Religion
"Their eyes were opened, and they both knew that they were naked. They sewed fig leaves together, and made coverings for themselves.","Ndipo macho yao wote wawili yakafumbuliwa, wakajiona kwamba walikuwa uchi; hivyo wakashona majani ya mtini, wakajifunika.","Erio agwo nyuma ko barire, bakaegwa okomanya bakamanya ng’a ngetirianda bare; erio bagatabora amato y’omoko, bakayasonerania, erio bakeboyia.",Religion
"They heard Yahweh God’s voice walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of Yahweh God among the trees of the garden.","Ndipo yule mwanaume na mkewe, waliposikia sauti ya Bwana Mungu alipokuwa akitembea bustanini jioni, wakajificha kutoka mbele za Bwana Mungu katikati ya miti ya bustani.","Emogoroba eria bakaigwa eriogi ri’Omonene Nyasae ogotaara ase omogondo, erio barabwo bakebisa mogondo gati y’emete.",Religion
"Yahweh God called to the man, and said to him, “Where are you?”","Lakini Bwana Mungu akamwita Adamu, “Uko wapi?”","Korende Omonene Nyasae akarangeria omonto oria, akamobooria: “Ng’ai ore?”",Religion
"The man said, “I heard your voice in the garden, and I was afraid, because I was naked; so I hid myself.”","Naye akajibu, “Nilikusikia katika bustani nikaogopa kwa sababu nilikuwa uchi, hivyo nikajificha.”","Ere akamoiraneria: “Nigo naigwa eriogi riao ase omogondo, noboa ase ayio nebisa ekiagera igo nde getirianda.”",Religion
"God said, “Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?”","Mungu akamuuliza, “Ni nani aliyekuambia ya kuwa ulikuwa uchi? Je, umekula matunda ya mti niliokuamuru usile?”",Omonene akamobooria: “Ing’o ogoteebia ng’a ngetirianda ore? Inee! Nkwarire amatunda y’omote oria nagokanetie ng’a toria?”,Religion
"The man said, “The woman whom you gave to be with me, she gave me fruit from the tree, and I ate it.”","Adamu akasema, “Huyu mwanamke uliyenipa awe pamoja nami alinipa sehemu ya tunda kutoka kwenye huo mti, nami nikala.”","Omonto oria akamoiraneria: “Omokungu oyo kwang’ete ng’a abe amo nainche, nere ong’ete amatunda y’omote oyio, na inche nkaria.”",Religion
"Yahweh God said to the woman, “What have you done?” The woman said, “The serpent deceived me, and I ate.”","Ndipo Bwana Mungu akamuuliza mwanamke, “Ni nini hili ambalo umelifanya?” Mwanamke akajibu, “Nyoka alinidanganya, nami nikala.”","Eri’Omonene Nyasae akabooria omokungu oria: “Ninki kiagera gwakora aya?” Omokungu oria akamoiraneria: “Neng’iti yang’ainete, nkaria.”",Religion
"Yahweh God said to the serpent, “Because you have done this, you are cursed above all livestock, and above every animal of the field. You shall go on your belly and you shall eat dust all the days of your life.","Hivyo Bwana Mungu akamwambia nyoka, “Kwa kuwa umefanya hili, “Umelaaniwa kuliko wanyama wote wa kufugwa na wa porini! Utatambaa kwa tumbo lako na kula mavumbi siku zote za maisha yako.","Omonene Nyasae agateebia eng’iti eria, “Ekiagera gwakorire aya, aye bweka kwaragererigwe kobua ching’iti chionsi; aye nenda oragendere, na orotu orarie buna endagera ase obogima bwao bwonsi.",Religion
"I will put hostility between you and the woman, and between your offspring and her offspring. He will bruise your head, and you will bruise his heel.”","Nami nitaweka uadui kati yako na huyo mwanamke, na kati ya uzao wako na wake, yeye atakuponda kichwa, nawe utamuuma kisigino.”","Inche nimbeeke obobisa ase egati yao na omokungu oyo, na ase egati y’oroiboro rwao na oroiboro rwaye; noroiboro orwo narogosenyente omotwe oo, na aye nomoorome egetingiro kiaye.”",Religion
"To the woman he said, “I will greatly multiply your pain in childbirth. You will bear children in pain. Your desire will be for your husband, and he will rule over you.”","Kwa mwanamke akasema, “Nitakuzidishia sana utungu wakati wa kuzaa kwako; kwa utungu utazaa watoto. Tamaa yako itakuwa kwa mumeo naye atakutawala.”","Akaonchokera omokungu, akamoteebia, “Ninkomentere emechando emeenge ekero okoba morito, na ekero okoibora abana nonyore obororo; nonya nabo okogania kwao nigo korabe ase omosacha oo, na ere nakogaambere.”",Religion
"To Adam he said, “Because you have listened to your wife’s voice, and have eaten from the tree, about which I commanded you, saying, ‘You shall not eat of it,’ the ground is cursed for your sake. You will eat from it with much labor all the days of your life.","Kwa Adamu akasema, “Kwa sababu umemsikiliza mke wako na ukala kutoka kwenye mti niliokuamuru, ‘Msile tunda lake,’ “Ardhi imelaaniwa kwa sababu yako, kwa kazi ngumu utakula chakula kitokacho humo siku zote za maisha yako.","Erio agateebia Omosacha oria, “Ekiagera kwaigwerete mokao na okaria amatunda ’omote oria nagokanetie ng’a toria, riroba riaragererigwe ase engencho yao. Ase ogwechanda kwao norie okwama kwaeriroba amatuko onsi ay’obogima bwao.",Religion
It will yield thorns and thistles to you; and you will eat the herb of the field.,"Itazaa miiba na mibaruti kwa ajili yako, nawe utakula mimea ya shambani.","Riroba narikwamere amagwa na amageri, na aye norie okwama kw’ebimeri bi’orosana.",Religion
"You will eat bread by the sweat of your face until you return to the ground, for you were taken out of it. For you are dust, and you shall return to dust.”","Kwa jasho la uso wako utakula chakula chako hadi utakaporudi ardhini, kwa kuwa ulitwaliwa kutoka humo, kwa kuwa wewe u mavumbi na mavumbini wewe utarudi.”","Goika okore omokia na goitera ebigeri gokora riroba riame kende gionsi omanye konyora endagera orie; goika oirane ase riroba, ekiagera agwo nao kwarwete. Naki aye norotu, naende noirane ase orotu.”",Religion
The man called his wife Eve because she would be the mother of all the living.,"Adamu akamwita mkewe Eva, kwa kuwa atakuwa mama wa wote walio hai.","Adamu akaaroka mokaye Hawa, ekiagera ere nere ng’ina bw’abare moyo bonsi.",Religion
"Yahweh God made garments of animal skins for Adam and for his wife, and clothed them.","Bwana Mungu akawatengenezea Adamu na mkewe mavazi ya ngozi, akawavika.","Erio Omonene Nyasae akaroiseria Adamu na mokaye chingobo chi’amasankwa, erio agwo akababoyia.",Religion
