concept_id,Kiswahili,Ekegusii,source
117905,"Kwa mwimbishaji. Mtindo wa gitithi. Zaburi ya Asafu. Mwimbieni kwa furaha, Mungu aliye nguvu yetu; mpigieni kelele za shangwe Mungu wa Yakobo!","(Ogoteera gw’Asafu) Moterere Nyasae neriogi rinene, ekiagera nere chinguru chiaito, aka eriogi ri’omogooko ase Nyasae o Yakobo.",Trilingual-Bible
108460,"Kumbuka siku za kale; tafakari vizazi vya zamani vilivyopita. Uliza baba yako, naye atakuambia, wazee wako, nao watakueleza.","“Inyora amatuko a kare, rengereria igoro y’emiaka y’ebiaare biaetire. Boria iso, nere nakworokererie amang’ana ayio, boria abagaaka baino, nabarabwo mbakoyateebie.",Trilingual-Bible
118498,"Moyo wake ni salama, hatakuwa na hofu, mwishoni ataona ushindi dhidi ya adui zake.","Enkoro yaye teri koirianyeka gose kwoboa, ere nigo akoremereria goika abachaandi baye babugwe.",Trilingual-Bible
116280,"“Kama nimeishi katika uongo au mguu wangu umekimbilia udanganyifu,","Inee! Nabeire ngotaara ase chinchera chi’obong’ainereria, gose amagoro aane naminyokeire ay’oborimo?",Trilingual-Bible
104643,"Mtumwa yeyote ambaye mmemnunua aweza kuila kama mmemtahiri,",korende omosomba onde bwensi omogorwa chitaabu ere ayerie gokwamwarokirie.,Trilingual-Bible
108860,"Vilevile ilijumlisha Gileadi, eneo la Wageshuri na Wamaaka, mlima wote wa Hermoni na Bashani yote ikienea hadi Saleka:","Naende ekabwaterania Gileadi na orogongo rw’Abagesuri na orw’Abamaaka, amo negetunwa gionsi kia Herimoni, na Basani yonsi goika Saleka,",Trilingual-Bible
127422,"Lakini walisema, “Tusilifanye jambo hili wakati wa Sikukuu, maana watu wanaweza wakafanya ghasia.”","korende barabwo bagateeba, “Titomobwata ekero kie rituko rinene, ekiagera abanto nigo bararente rirorooche.”",Trilingual-Bible
129360,"Nimewaambia mambo haya kabla hayajatukia, ili yatakapotukia mpate kuamini.","Na bono nabateebirie ritang’ani ataraba, erinde ekero akoba, mwegene.",Trilingual-Bible
117063,"Bwana huzuia mipango ya mataifa, hupinga makusudi ya mataifa.","Omonene nigo akoonchorana emeroberio y’abanto b’ebisaku, na gosaria okogamba kwa Mwanyabaanto kwaba bosa.",Trilingual-Bible
131999,"Tumikeni kwa moyo wote, kama vile mnamtumikia Bwana na si wanadamu.","ase omoyo omuya mogokorera Omonene, gose tari Mwanyabaanto.",Trilingual-Bible
115519,"Siku ambayo iliwekwa kwa Wayahudi kufanya hili katika majimbo yote ya Mfalme Ahasuero ilikuwa siku ya kumi na tatu ya mwezi wa kumi na mbili, yaani mwezi wa Adari.","Ayio akoreke ase rituko erimo ase chingongo chionsi chi’omorwoti Ahaswero, ne rituko erio nigo rirabe eria ikomi na gatato ri’omotienyi o ikomi na kabere okorokwa Adari.",Trilingual-Bible
125772,"“Sasa onyo hili ni kwa ajili yenu, enyi makuhani.","“Bono inwe abakuani, amang’ana aya nigo achiikirwe ase more.",Trilingual-Bible
109291,"Akawaagiza, “Nifuateni, kwa kuwa Bwana amewatia Moabu, adui zenu, mikononi mwenu.” Kwa hiyo wakateremka wakamfuata, wakavishika vivuko vya Yordani kuelekea Moabu, wala hawakuacha mtu yeyote kuvuka.","Ere akabateebia, “’Ntunyane, ekiagera Omonene obeekire ababisa baino Abamoabu ase amaboko aino.” Erio bakamotunyana, bagasieka chitaracha chia Yorodani, ase Abamoabu banarete kwambokera, tibaa nonya n’oyomo ribaga ri’okwamboka.",Trilingual-Bible
111295,"Katika vita vingine tena, vilivyopiganwa huko Gathi, kulikuwako na mtu mmoja mkubwa mwenye vidole sita katika kila mkono na vidole sita kila mguu, jumla vidole ishirini na vinne. Yeye alikuwa pia mzao wa Mrefai.","Naende esegi yareenge Gati. Omonto omotambe nareengeo. Nigo areenge nebiara bitano na ekemo ase kera okoboko, na bitano na ekemo ase kera okogoro; bionsi nigo biareenge emerongo ebere na bine. Ere boigo noyomo bw’amamonto oreenge.",Trilingual-Bible
116298,"Kwa kuwa niliogopa uharibifu kutoka kwa Mungu, nami kwa kuuogopa utukufu wake sikuweza kufanya mambo kama hayo.",Nigo nare gocha kwoboigwa nemechando korwa ase Nyasae; na tinare konyara gotenena bosio bw’obonene bwaye.,Trilingual-Bible
104854,"Mose akawaambia watu, “Msiogope! Mungu amekuja kuwajaribu, ili kwamba hofu ya Mungu iwakalie, msitende dhambi.”","Musa akabairaneria, “Timoondoka! Naki Nyasae nigo achire kobateema inwe, erio egere mogenderere komoiroka, erinde timokora ebibe.”",Trilingual-Bible
102905,"Baada ya kumzaa Yaredi, Mahalaleli aliishi miaka 830, akawa na watoto wengine wa kiume na wa kike.","Magega y’okoiborwa kwa Yaredi, Mahalaleli nigo amenyete emiaka amagana atano na atato, na emerongo etato (830), akaba ise bw’abana bande, abamura na abaiseke.",Trilingual-Bible
116572,"Hulala chini ya mimea ya yungiyungi, katika maficho ya matete kwenye matope.","Nigo ekorara ase ekiriri ki’omote okorokwa lotusi, yebisa na gokenderera ime ase ebitonto bire ase etente.",Trilingual-Bible
108381,"Wakati mlipofika mahali hapa, Sihoni mfalme wa Heshboni na Ogu mfalme wa Bashani walikuja kupigana dhidi yetu, lakini tuliwashinda.","Ekero twachete aase aya, Sihoni omorwoti o Hesiboni, na Ogi, omorwoti o Basani, bagaacha gotorwania esegi, korende tokababua.",Trilingual-Bible
131548,"Naye alikufa kwa ajili ya watu wote, ili kwamba wote wanaoishi wasiishi tena kwa ajili ya nafsi zao wenyewe, bali kwa ajili yake yeye aliyekufa na kufufuliwa tena kwa ajili yao.","Ere agakwa ase engencho ya bonsi, erio abare moyo tibaaba moyo ase engencho yabo boka abanyene, korende nase engencho yaye ere oyokwete, naende akaboka ase engencho yabo.",Trilingual-Bible
125249,"Sikieni, enyi mataifa, enyi nyote, sikilizeni, ee dunia na wote mliomo ndani yake, ili Bwana Mwenyezi ashuhudie dhidi yenu, Bwana kutoka Hekalu lake takatifu.","Igwa amang’ana aya! Inwe abanto b’ebisaku bionsi, tegerera moigwe Inwe mwensi abwo momenyete ase ense, Omonene nabe kirori mamincha yaino. Tegerera moigwe amang’ana aya! Nigo agokwana korwa ase Hekalu yaye ya igoro.",Trilingual-Bible
107223,"Wazao wa Manase: kutoka kwa Makiri, ukoo wa Wamakiri (Makiri alikuwa baba wa Gileadi); kutoka kwa Gileadi, ukoo wa Wagileadi.","Ase egesaku kia Manase nao eamate ya Makiri yarwete. Makiri nere orenge ise Gileadi, na korwa ase are nao Abagileadi barwete.",Trilingual-Bible
127168,"Katika siku hizo, umati mkubwa wa watu ulikusanyika tena. Kwa kuwa walikuwa hawana chakula, Yesu akawaita wanafunzi wake akawaambia,","Ase amatuko aria ekero omoganda omonene osangererekanete, na barabwo tibarenge na gento bakoria, Yeso akarangeria aborokigwa baye, akabateebia,",Trilingual-Bible
104177,"Haya ndiyo majina ya wana wa Israeli (Yakobo na wazao wake), waliokwenda Misri: Reubeni mzaliwa wa kwanza wa Yakobo.","Aya naro amarieta Abaisraeli abwo bagendete Misiri: Yakobo na abana baye, nabwo aba: Rubeni, nere omotangi o Yakobo.",Trilingual-Bible
125611,"Kisha kifuniko kilichotengenezwa kwa madini ya risasi kilichokuwa kimefunika kile kikapu, kiliinuliwa na ndani ya kile kikapu alikuwako mwanamke ameketi!","Nkarigereria, nkarora ekemumeko kiaroiseirie risasi gekomumoka, na omokungu oikaransete ase egetonga keria ime.",Trilingual-Bible
120676,"Katika siku ile watu watamwangalia Muumba wao, na kuelekeza macho yao kwa yule Aliye Mtakatifu wa Israeli.","Ase engaki eyio abanto mbarigie ogokonywa korwa ase Omotongi obo, mbabe namasikani ase Oyore Omochenu bw’Abaisraeli.",Trilingual-Bible
109274,"Hivyo nchi ikawa na amani kwa muda wa miaka arobaini, mpaka Othnieli mwana wa Kenazi alipofariki.","Bono ense eria ekaba n’omorembe ase engaki y’emiaka emerongo ene. Erio Otinieli, mosinto o Kenasi, agakwa.",Trilingual-Bible
120908,"kila mmoja ataaibishwa kwa sababu ya taifa lisilowafaa kitu, ambalo haliwaletei msaada wala faida, bali aibu tu na fedheha.”","kera oyomo nasooke, ekiagera mosemeretie abanto b’egesaku batanyare kobaa ebitoki binde, korende nobosooku na ogochaywa.”",Trilingual-Bible
132557,"Kwa maana wako wengi wasiotii, wenye maneno yasiyo na maana, hasa wale wa kikundi cha tohara.","Inaki mbare abange, mono korwa ase Abayahudi baria baonchokire batari koigwera, abagokwana amang’ana atari nengeencho, abakong’aina abande ase ayio.",Trilingual-Bible
121359,"“Nisikilizeni, ninyi mnaofuatia haki na mnaomtafuta Bwana: Tazameni mwamba ambako mlichongwa, na mahali pa kuvunjia mawe ambako mlichimbwa;","Inwe aba mokorigia oboronge, ee, inwe aba mokondigia inche Omonene, tegerera monyigwe! Rigereria egetare ase mwabaachetwe korwa,",Trilingual-Bible
113581,"ili ithibitike na jina lako litakuwa kuu milele. Kisha watu watasema, ‘Bwana Mungu Mwenye Nguvu Zote, Mungu aliye juu ya Israeli, ndiye Mungu wa Israeli.’ Nayo nyumba ya mtumishi wako Daudi itafanywa imara mbele zako.","erinde erieta riao ribeo ritogigwe goika kare na kare. Erio abanto bateebe: Omonene bw’Emeganda nere Nyasae bw’Abaisraeli, ekeene nere Nyasae bw’Abaisraeli. Ase enchera eyio enyomba y’omosomba oo, inche Daudi, ekong’igwe ase obosio bwao.",Trilingual-Bible
128020,"Yesu akageuka na kuwakemea,","Akeonchora, akabakania.",Trilingual-Bible
127259,"Wakajibu, “Mose aliruhusu kwamba mume anaweza kumwandikia mkewe hati ya talaka na kumwacha.”","Bagateeba, “Musa nigo aruete ribaga koriika riruube ri’ogotigana, na komotiga.”",Trilingual-Bible
130649,"Ndipo wale ambao hawakutahiriwa kimwili lakini wanaitii sheria watawahukumu ninyi, ambao ingawa mmetahiriwa na kuijua sana sheria ya Mungu iliyoandikwa, lakini mwaivunja.","Ere oyotaarogeti ase omobere, onye obwatete amachiiko, Inee, tagokonachera ekiina aye, oyore namachiiko na okwaroka, naende osaririe amachiiko?",Trilingual-Bible
100610,"Sherehe ya Maadhimisho ya Mwaka 1 ya eCitizen! Moja kwa moja kwenye KBC CHANNEL 1 saa 3:00 AM. Raia wanaweza kujiandikisha na kuuliza kuhusu huduma yoyote kati ya zaidi ya 20,000 zinazopatikana kwenye jukwaa kwa kutembelea vibanda maalum vya maonyesho katika viwanja vya 27 - 28 Novemba. #KBCniYet","ogochengera omwaka oyomo bwobokoreri bwa e-citizen! eyemo ase eyemo korwa kbc channel 1gochaka 9.00AM. Abanto bonsi nabo bakwerikia na koboria igoro yobokoreri goetania 20,000 obwo bogotoka aroro ase ogotarera amaorokererio ayuo ase egesa kiabo kiamaorokererioase egetii chitariki, 27 goika 28 omotienyi oikomi na rimo.#KBCniyetu.",PSA
106150,"kwa kuwaruhusu kuzila sadaka hizo takatifu, na hivyo kuwaletea hatia ya kudaiwa malipo. Mimi ndimi Bwana niwafanyaye watakatifu.’ ”","na igo bakogera abanto babogorie ebibe biabo, na okomocha kwabo, ase okoria ebinto ebichenu baruete. Inche ninche Omonene, ninche nkobachena.”",Trilingual-Bible
101096,"Kuwa macho, shiriki taarifa zako na wadanganyifu. Ripoti na uzuie akaunti zozote zinazotiliwa shaka.","Kaba maiso,sanga amanga ago nemekora",PSA
112817,"Akajenga upya mahali pa juu pa kuabudia miungu ambapo Hezekia baba yake alikuwa amepabomoa. Pia akasimamisha madhabahu za Baali na kutengeneza nguzo ya Ashera, kama Ahabu mfalme wa Israeli alivyofanya. Akalisujudia jeshi lote la angani na kuliabudu.","Akaagacha naende aase aimokererete igoro agosasimerwa, aria Hezekia ise asaretie. Naende agatenenia ebisasimero bia Baali, na akaroisia omote bw’Asera, enyasae eria enkuungu, buna Ahabu, omorwoti bw’Abaisraeli akorete. Agasasiima erioba, na omotienyi, ne ching’enang’eni, ebitongwa bia igoro, akabikorera.",Trilingual-Bible
124189,"Nje ya lango la ndani, kwenye ukumbi wa ndani, kulikuwa na vyumba viwili, kimoja upande wa lango la kaskazini nacho kilielekea kusini, kingine upande wa lango la kusini nacho kilielekea kaskazini.","Isiko y’oboagacho bw’egeita kia ime gochia ase eraaro ya ime, ebinyomba bibere bi’abateri mbiarengeo, akamo kaare ang’e negeita gia sugusu karochie Irianyi, na akande ensemo y’egeita kia moocha karochie sugusu.",Trilingual-Bible
127919,"Naye akasema, “Ninyi mmepewa kufahamu siri za Ufalme wa Mungu, lakini kwa wengine nazungumza kwa mifano, ili, “ ‘ingawa wanatazama, wasione; ingawa wanasikiliza, wasielewe.’","Agateeba, “Inwe mwaeirwe komanya obobisi bw’oborwoti bwa Nyasae; korende abande nabateebigwe ase emereng’anio, erinde okong’ereria bariingererie, korende tibarora, naende ogotegerera bategerere, korende tibaigwa.",Trilingual-Bible
105171,"Usifukize uvumba mwingine wowote juu ya madhabahu haya au sadaka nyingine yoyote ya kuteketezwa wala sadaka ya nafaka, wala usimimine sadaka ya kinywaji juu yake.","Timobaisa gosamba ubani eye etachikiri, gose ekeng’wanso ki’ogosambwa, gose okoruegwa kw’endagera, gose timobaisa koumora okoruegwa gw’ekenyugwa igoro yaye.",Trilingual-Bible
115030,"Malkiya mwana wa Harimu, na Hashubu mwana wa Pahath-Moabu walikarabati sehemu nyingine pamoja na Mnara wa Matanuru.","Malikia, mosinto o Harimu, na Hasubu, mosinto o Pahati-Moabu, bakaagacha ensemo ende; boigo bakaagacha Omorobiri bw’eriko.",Trilingual-Bible
120361,"Tazama jinsi mji uliokuwa mwaminifu umekuwa kahaba! Mwanzoni ulikuwa umejaa unyofu, haki ilikuwa inakaa ndani yake, lakini sasa ni wauaji!","Omochie oyio orenge omwegenwa obeire buna omokungu omotayayi. Agwo kare nigo orenge konacha ebiina bia boronge, na oboronge nigo bwarenge ime yaye, korende bono abanto baye babeire abaiti.",Trilingual-Bible
106685,"Adhimisheni wakati ulioamriwa, yaani wakati wa kuzama jua siku ya kumi na nne ya mwezi huu, kufuatana na desturi zake zote na masharti yake.”","Ase rituko ria ikomi na kane ri’omotienyi oyo, chinsa chia mogoroba, ’namorende rituko erio ase engaki echiikire koreng’ana n’emeroberio eria yachigetwe.”",Trilingual-Bible
108891,"Hivyo katika siku ile, Mose akaniapia, ‘Nchi ambayo umeikanyaga kwa miguu yako itakuwa urithi wako na wa watoto wako milele, kwa sababu umemfuata Bwana Mungu wangu kwa moyo wote.’","Rituko riria Musa akandiera eira na gotiana, agateeba: Ekeene, ense eyio amagoro ao atachete nigo erabe omwando oo, na oyo bw’ororeria rwao botambe, ekiagera kwaigwerete Omonene, Nyasae one.",Trilingual-Bible
107707,"lakini ninyi nyote mlioshikamana na Bwana kwa uthabiti, Mungu wenu, mko hai mpaka leo.","Korende inwe abamwabete abegenwa ase Omonene Nyasae oino, kera oyomo oino moy’are goika reero iga.",Trilingual-Bible
107181,Kwa hiyo Israeli akaungana katika kumwabudu Baali wa Peori. Hasira ya Bwana ikawaka dhidi yao.,"Abaisraeli bakabwatana n’enyasae yarenge korokwa Baali‐Peori, bakayesasiima. Omonene akaba n’endamwamu enene ase bare.",Trilingual-Bible
102596,KUCCPS inafungua dirisha la mwisho la kubadilisha kozi – shahada ya kubadili kabla ya seva kuanguka!,"Ekeombe keria ekenene getenerete korangeria abana gochia eyunifasiti KUCCPS kiagoire omoroberio bwomoerio, soa omoroberio bwedigiri nyuma eintaneti etaraengerwa!",PSA
113447,"Watu wa Isakari, waliofahamu majira na kujua kile ambacho Israeli inapasa kufanya, walikuwa viongozi 200, pamoja na jamaa zao wote chini ya uongozi wao.","Korwa ase Abaisakaru: abanto abang’aini abamanyi ebimanyererio bie chingaki, bamanyete egento Abaisraeli bagwenerete gokora, abateneneri amagana abere (200), amo nabamwabo abarenge inse ase obochiki bwabo.",Trilingual-Bible
110558,"Mtu mmoja huko Maoni, aliyekuwa na makao huko Karmeli, alikuwa tajiri sana. Alikuwa na mbuzi elfu moja na kondoo elfu tatu, aliokuwa akiwakata manyoya huko Karmeli.",Nareenge omonto oyomo korwa Maoni obwate amaicho aye agwo Karimeli. Ere nigo areenge omonda mono; nabwate ching’ondi chilifu isato ne chimbori elifu eyemo. Igo areenge koba okonacha ching’ondi chiaye amarionya agwo Karimeli.,Trilingual-Bible
108667,"Basi wale vijana waliofanya upelelezi wakaenda kumleta Rahabu, baba yake na mama yake, na ndugu zake na watu wote waliokuwa pamoja naye. Wakaleta jamaa yake yote na kuwaweka mahali nje ya kambi ya Israeli.","Erio abamura baria chirooti bakageenda, bagasokia Rahabu, na ise, na ng’ina, na abana bamwabo, na abanto ba nyomba mwaye, amo neamate yaye yonsi, bakabaa ribaga bamenye ang’e negetwori ki’Abaisraeli.",Trilingual-Bible
114380,"Ikawa kila wakati kasha lilipoletwa ndani na Walawi kwa maafisa wa mfalme na kuona kwamba kuna kiasi kikubwa cha fedha, mwandishi wa mfalme na afisa wa kuhani mkuu walikuwa wanakuja na kumimina, kisha kulirudisha mahali pake. Walifanya hivi mara kwa mara, nao wakakusanya fedha nyingi sana.","Engaki ende yonsi esanduki eria yare korentwa n’Abalawi ase abanto baria omorwoti achorete, na ekero barabwo baare korora ng’a chitaabu chiabeire chinyinge, omoriki bw’omorwoti na omosomba bw’Omokuani bw’omonene nigo baare gocha barusia chitaabu echio. Magega y’ayio bairania esanduki eria aase aye. Bakaba bagokora igo rituko ase rituko bagasangereria chitaabu chinyinge.",Trilingual-Bible
118391,"Walikuwa na njaa na kiu, nafsi zao zikadhoofika.",Nigo babete n’enchara amo n’erang’o goika bakerusia moyo.,Trilingual-Bible
100252,"Kufikia miezi 5 iliyopita DIG Lagat awaonya maafisa kuacha ufisadi Siku chache baada ya wafungwa kutoroka kutoka kizuizini halali katika mahakama huko Siaya, Naibu Inspekta Jenerali Eliud Lagat alizuru kaunti hiyo na kuwasihi maafisa kudumisha weledi na ushirikiano.","Emetienyi etano yaetire, omorai omonene bwasikari Lagat okureire abakoreri gotiba obokorekanu chingaki abasibwa baminchoretie korwa korwa ekoti aaria, Omorai omoke bwomorai omonene bwa abasikari omochenero Eliud Lagat natarerete ekaonti eyio na gosaba abasikari babwaterere obokoreri bwabo buna eganeirie a ase okobwaterana.",PSA
100871,Tengeneza mpango wa biashara ulio wazi kwa ajili ya kitengo chako cha umwagiliaji au cha maziwa. Jifunze vipengele muhimu na jinsi vinavyosaidia katika kupata fedha.,Rosia omoreberio omuya bwoboonchoreria bwoboremi bwao as ogosiarera amache gose omoremi bwechiombe chia amabere. Egera igor yechinsemo chibwenerete chiragokonye ase okonyora eroni yoboremi,PSA
129182,"lakini ikiwa nazifanya kazi za Mungu, hata kama hamniamini mimi ziaminini hizo kazi, ili mpate kujua na kuelewa kwamba Baba yu ndani yangu, nami ndani yake.”","Korende konda yekore, nonya timonyegeneti inche, egene emeremo eria, monyare komanya na kwegena ng’a Tata nigo are ime yane, na inche ime ase Tata.”",Trilingual-Bible
111135,Mfalme na watu wote aliokuwa pamoja nao wakafika kwenye kituo chao wakiwa wamechoka. Mfalme akajiburudisha hapo.,Omorwoti na abanto baye bonsi konya barosire ekero baigete aase gete. Ase igo bakaba bagotimokera aroro.,Trilingual-Bible
126086,"Haya ndiyo majina ya hao mitume kumi na wawili: wa kwanza, Simoni aitwaye Petro, na Andrea nduguye; Yakobo mwana wa Zebedayo, na Yohana nduguye;","Na amarieta abotomwa baria ikomi na babere naro aya: Oyo bw’eritang’ani, Simioni, oyio ore korokwa naende Petero, na Anderea momura omwabo; Yakobo, omwana o Zebedi na Yohana momura omwabo;",Trilingual-Bible
101794,Shinikizo la Kenya la Kukuza Chakula cha Jadi ni Nzuri kwa Lishe na Urithi wa Utamaduni,Erango yogosegeta chindagera chia abakoro mbuya na koererani egekoro,PSA
108330,Bwana atafanya mvua ya nchi yako kuwa mavumbi na mchanga; vitakujia kutoka angani mpaka uangamie.,"Ribaga ri’embura egotwa ase riroba riaino, Omonene narente ebuse na omokenye bibatwere korwa igoro na kobasiria kegima.",Trilingual-Bible
113347,"Gedori, Ahio, Zekaria na Miklothi.","Gedori na Ahiyo, Zakaria na Mikiloti.",Trilingual-Bible
130881,"Sasa ninasema nanyi watu wa Mataifa. Maadamu mimi ni mtume kwa watu wa Mataifa, naitukuza huduma yangu","Bono ’ngokwana nde nainwe abanto b’Ebisaku. Koreng’ana buna inde omotomwa bw’ abanto b’Ebisaku, nabarire ng’a obosomba bwane n’egento ekenene,",Trilingual-Bible
109665,"Basi Wafilisti wakamkamata, wakamngʼoa macho yake, wakamchukua wakamteremsha mpaka Gaza. Wakiwa wamemfunga kwa pingu za shaba, wakamweka ili asage ngano huko gerezani.","Abafirisiti bakamobwata, bakamokonora amaiso, naende bakamoira gochia Gasa, bakamosiba ne chingataare chie chitaai. Bakamobeeka gosia obosie agwo ase enyomba y’obosibwa.",Trilingual-Bible
104883,"Lakini kukiwa na jeraha kubwa, ni lazima ulipe uhai kwa uhai,","Korende omokungu oria karakwe, rirorio egesusuro kebe obogima ase obogima,",Trilingual-Bible
122415,"Kamba ya kupimia itaanzia hapo kuendelea hadi kwenye kilima cha Garebu, na kisha kugeuka kuelekea Goa.","Orobebe rwaye rw’okoyorenga narogende aare, rorongee gochia ase ekegoro kia Garebu, naende roonchoke rogende roike Goa.",Trilingual-Bible
107190,"Yeye pamoja na wazao wake watakuwa na Agano la ukuhani milele, kwa sababu alikuwa na wivu kwa ajili ya heshima ya Mungu wake, na akafanya upatanisho kwa Waisraeli.”","Okobwatana okwo kw’omorembe ’nkobe ase are ere, na ase ororeria rw’aye, okobwatana kwa botambe kw’obokuani, ekiagera abeete ne risemi ase engencho yane, inche Nyasae oye, naende agakora okobwatanigwa ase Abaisraeli.”",Trilingual-Bible
125990,“Ombeni nanyi mtapewa; tafuteni nanyi mtapata; bisheni nanyi mtafunguliwa mlango.,"“Saba, ’namoegwe; rigia, ’namonyore; tura, ’namoigorerwe egesieri.",Trilingual-Bible
122765,"Moabu haitasifiwa tena; huko Heshboni watu watafanya shauri baya la anguko lake: ‘Njooni na tuangamize taifa lile.’ Wewe nawe, ee Madmena, utanyamazishwa; upanga utakufuatia.","ogotogigwa kw’Abamoabu gwasirire. Ababisa bare Hesiboni barobeirie gokora ense eria bobe. Nigo bagoteebania: Inchuo tosirie abanto baye tibaabaisa koba egesaku naende. Aye omochie o Madimena boigo nokirigwe‐kiri, omoro nokobwatie korwa magega.",Trilingual-Bible
108246,Usimfunge maksai kinywa anapopura nafaka.,“Tobaisa kobeekera eng’ombe ekeokio ekero ekoora endagera.,Trilingual-Bible
130533,"Tulikuwa tunapigwa na dhoruba kwa nguvu, kiasi kwamba kesho yake walianza kutupa shehena toka melini.","Ekiagera konya twatwomirwe mono nomwaga oria, rituko ria kabere bagachaaka gotuguta chigurube nyancha ime.",Trilingual-Bible
111033,"Mfalme Daudi aliposikia mambo haya yote, akakasirika sana.","Ekero omorwoti Daudi aigwete amang’ana ayio, akaba nekeririanda ekenene.",Trilingual-Bible
120420,"Katika siku ile wanawake saba watamshika mwanaume mmoja wakisema, “Tutakula chakula chetu wenyewe na kuvaa nguo zetu wenyewe, ila wewe uturuhusu tu tuitwe kwa jina lako. Utuondolee aibu yetu!”","Ase engaki eyio abakungu batano na babere mbabwate omosacha oyomo, mbeteebie: “Intwe abanyene ntwenyorere endagera tokoria ne chianga tokobeeka, korende tiga rioka torokwe abakungu bao, erinde otoruserie obosooku.”",Trilingual-Bible
100346,Kikundi Kazi cha Mageuzi ya Polisi chataka COP imara zaidi,Ekeombe kia baria bagokora amaonchorerio ase obokoreri bwabasikari nigo kegosaba ogokongigwa kwa abarendi boborendi (COP),PSA
112734,Basi Hezekia akampa fedha yote iliyopatikana ndani ya Hekalu la Bwana na katika hazina ya jumba la mfalme.,"Hezekia akamoa chifeta chionsi chianyorekanete ime ase enyomba y’Omonene, na ase chikungo chi’enyomba y’omorwoti.",Trilingual-Bible
133169,"Wakiwa na macho yaliyojaa uzinzi, kamwe hawaachi kutenda dhambi. Huwashawishi wale wasio imara. Wao ni hodari kwa kutamani; ni wana wa laana!","Amaiso abo nigo aichire nobotomani, na tibagotiga gokora ebibe. Nigo bakogenka abare nemioyo etari ne chinguru, na bare ne chinkoro chianarigwe ase obwegimeria. Barabwo nigo bare abanto baragereretigwe.",Trilingual-Bible
131814,"Basi, sisi ndugu zangu, ni kama Isaki, tu watoto wa ahadi.","Gaki baminto, inwe nigo more abana b’eira buna Isaka.",Trilingual-Bible
102247,Tangazo la umma la shindano la kutangaza mapishi yenye virutubisho vya kienyeji kwa kutumia viungo vilivyoongezwa virutubisho au vya asili.,"Okorari amaamereranio ase oborugi ase abanto, ase chindagera chia egekoro gotumia ebinto bikomenta obotobu gose ebikoro",PSA
